Rank,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,country
12,87.4,La Concordia,$7.70/lb,"$17,869.03",Coffee Magazine Company Ltd.,Jesus Antonio Benavides Gomez,1870,Colombia,2012,Consaca,Nariño,"syrupy body, juicy and round, red wine","jasmine, floral, orange, cranberry, vanilla, brown sugar, red apple, toffee apple","lemon peel, strawberry, malic, bright",Washed Coffee,Colombia 63 6% Caturra 36 4% ,Colombia
13,87.38,El Espejo,$5.20/lb,"$12,127.73",JuBean coffee,Jairo Aroca,1700,Colombia,2012,San Antonio,Tolima,"silky mouthfeel, refined, delicate, lingering sweet finish","peach, tangerine, tropical fruit, citrus, apple, mango, honey, melon, molasses, sugar cane, cedar, toasted nuts","bright, structured, citrus",Washed Coffee,Caturra,Colombia
14,87.38,Loma Grande,$5.20/lb,"$19,187.16","Nippon Coffee Trading Co.,Ltd",Luis Carlos Guevara Rivera,1770,Colombia,2012,Sotara,Cauca,"smooth, creamy, well balanced, sweet coffee pulp","red wine, chocolate, tangerine, plum, apricot, red fruit, pear, grape, cherry, bakers chocolate, honey, black tea","lively, refined, bright, citric, tartaric, lemongrass",Washed Coffee,Castillo 16% Caturra 84% ,Colombia
15,87.38,La Playa,$4.60/lb,"$12,201.53","Wataru & Co., Ltd.",Segundo Angel Leon Villareal Gustin,1500,Colombia,2012,La Florida,Nariño,"balanced, silky, round mouthfeel, Meyer lemon in finish, complex","red fruits, herbaceous, vanilla, apricot, milk, chocolate, red grapes, red apple, green tomato","bright, lively, intense lemon, juicy, malic, pear",Washed Coffee,Colombia 50% Caturra 50% ,Colombia
16,87.38,La Pradera,$4.60/lb,"$11,779.86","Invalsa Coffee® (USA) with Richmond For Specialty Coffee (Korea), Coffee Labs (USA) Rojo’s Roastery (USA). Java Blend (Canada) and Haru International (Taiwan)",Jose Heli Guilombo Romero,1957,Colombia,2012,Planadas,Tolima,"balanced, transparent, honey in finish","peach, vanilla, brown sugar, orange, mandarin, melon, Muscat wine, lemon peel, grapefruit, red wine, guava","lemon, citric, blight",Washed Coffee,Caturra 90% Colombia 5% Castillo 5% ,Colombia
17,87.33,Piedra Santa,$5.00/lb,"$12,299.46",Kaffebrenneriet as,Deyber Garzon Ruano,1952,Colombia,2012,Balboa,Cauca,"smooth mouthfeel, molasses, lingering, balanced, round smooth","nectarine, winy, fresh mint, blackberry, sugar cane, cinnamon, chocolate, cardamom","bright, lively, sparkling, tangerine, honey",Washed Coffee,Castillo,Colombia
18,87.08,La Predera,$6.25/lb,"$14,504.08",Union Hand Roasted Coffee,Benigno Sanchez Pajoy,1802,Colombia,2012,Inza,Cauca,"good body, creamy, elegant, transparent, dark chocolate, molasses, sultana, lemongrass","dark chocolate, mandarin, orange, papaya, molasses, grapes, jasmine, cooked butter, ripe banana","lime, lemon, crisp, lively, citric",Washed Coffee,Caturra,Colombia
19,87.08,Sancie,$10.40/lb,"$30,409.83","Cafe Imports, Verve Coffee Roasters, Johnny Java’s, Reality Roasters (USA), Five Senses (AUS)",Vicente Rene Andrade,1643,Colombia,2012,Samaniego,Nariño,"rumcake, creamy body, dark chocolate, caramel, almond","passion fruit, chocolate, melon, grapefruit, anise, tropical fruit","crisp, lively, citrus, elegant, intense, melon",Washed Coffee,Colombia 50% Castillo 50% ,Colombia
20,86.65,La Placa,$4.20/lb,"$12,475.83","Wataru & Co., Ltd.",Aura Teresa Perez De Betancourt,1924,Colombia,2012,Samaniego,Nariño,"silky mouthfeel, syrupy, creamy, cherry","orange, mandarin, chocolate, plum, toffee, sugar cane, honey, toffee, yellow apple","tartaric, well balanced, crisp, green apple, bright",Washed Coffee,Caturra 70% Castillo 30% ,Colombia
21,86.65,La Pradera,$4.80/lb,"$13,199.87",Coffee Bean International for Target,Ramon Eraldo Manzano,1944,Colombia,2012,Sotara,Cauca,velvety,"sweet melon, blackcurrant, cherry, ripe fruits, almonds, dark chocolate, blackberry, cocoa","malic, bright and lively, intense, lime",Washed Coffee,Colombia 90% Caturra 10% ,Colombia
22,86.63,La Reina,$5.10/lb,"$11,835.33","World Coffee Co.,Ltd.",Adelino Urbano Garcia,1697,Colombia,2012,El Tablon,Nariño,"chocolate cake, toasted nuts, almond, spice, guava","toffee, butter, caramel, apple, red fruit, grapefruit, cedar, chocolate, nuts, brown sugar","citrus, lemon, lime, bright, lively, crisp",Washed Coffee,Caturra,Colombia
23,86.6,La Celenita,$4.80/lb,"$11,194.83","Wataru & Co., Ltd.",Diocelina Quimboa Noscue,1500,Colombia,2012,Corinto,Cauca,"currants, creamy, mouthfeel, sweet finish, consistent, milk chocolate","lemon, jasmine, pineapple, cranberry, spicy stone fruit, nuts, ginger, sugar cane, red apple, red wine","complex, bright, lemon peel",Washed Coffee,Colombia,Colombia
24,86.38,Miramar,$4.20/lb,"$14,620.11",honuKATOCOFFEE Inc.,Norbey Sambony Iles,1793,Colombia,2012,Bolivar,Cauca,"rich mouthfeel, refreshing, long finish, lemon peel on finish, juicy","chocolate, caramel, cane sugar, red wine, toffee, red apple, orange, lime, malt, berries","complex, malic, bright, refined",Washed Coffee,Caturra,Colombia
25,86.33,El Meson,$4.80/lb,"$11,139.13",Campos Coffe,Carlos Mario Anacona,2000,Colombia,2012,San Sebastian,Cauca,"silky body, spicy, bitter chocolate finish","cedar, chocolate, blueberry, orange, grape, red wine, jackfruit, mango, plum, prune, raspberry, cherry, papaya, sweet chocolate, very ripe, coriander seed","complex, citric, tartaric, lemon, lime, honey",Washed Coffee,Castillo 40% Caturra 60% ,Colombia
26,86.28,Samaria,$4.20/lb,"$10,916.35",SUNVILLAGE COFFEE ROASTERS,Luis Raimunno Ramos Ramos,2000,Colombia,2012,Pasto,Nariño,sweet finish,"chocolate, mango spicy, herbal, lime blossom, coffee pulp, blackcurrant, almond","red apple, malic, melon, white lemon, blueberry, buttery, mouthfeel, black tea",Washed Coffee,Colombia 10% Castillo 70% Caturra 20% ,Colombia
27,86.05,Pozo Azul,$4.61/lb,"$10,698.21",Small Batch Roasting Co,Jorge Enrique Garzon Mera,1880,Colombia,2012,La Florida,Nariño,"creamy mouthfeel, well balanced, rainforest aroma","sweet lemon, caramel, roasted peanuts, macadamia, nectarine, chocolate, eucalyptus, winter green, mint","crisp, bright, mandarin, passion fruit, apple, citric, bright",Washed Coffee,Caturra,Colombia
28,86.05,San Francisco,$4.50/lb,"$11,428.75",Richmond For Specialty Coffee (Korea) with Invalsa Coffee® (USA),Juan Antonio Cuastumal,1810,Colombia,2012,Santacruz,Nariño,"bold, juicy, rounded mouthfeel, consistent","floral, citrus, molasses, papaya, honey, basil, jasmine, grape","lime, lemon, orange, honeydew melon, refined",Washed Coffee,Castillo,Colombia
29,85.8,La Planada,$4.60/lb,"$10,621.63",Kaffebrenneriet as,Milton Cesar Mellizo Ausecha,1762,Colombia,2012,La Sierra,Cauca,"round mouthfeel, cinnamon in finish, good structure, thick body, vanilla, clean and transparent, creamy finish","blueberry, dark chocolate, apricot, lemon peel, black tea, raspberry","malic, juicy, balanced",Washed Coffee,Caturra 60% Colombia 40% ,Colombia
30,85.78,La Brasilia,$4.20/lb,"$9,795.47",Campos Coffee,Didimo Guzman,1760,Colombia,2012,Planadas,Tolima,"nougat, raspberry, custard, dark chocolate, caramel, Mars bar, creamy mouthfeel, cherry, rounded, balanced","tropical fruit, passion fruit, walnut in aroma, orange, apple, cherry, apricot, praline, caramel, herbal","lime, lively, malic",Washed Coffee,Caturra 80% Typica 20% ,Colombia
1,90.44,San Isidro,$20.50/lb,"$50,983.50","UCC Ueshima Coffee Co., Ltd.",Alirio Aguilera Ospina,1600 masl,Colombia,2013,Palestina,Huila,zingy exceptionally sweet syrupy,"floral blackberry red wine burnt sugar honeysuckle passion fruit butter, strawberry passion fruit lemongrass peach tangerine plum orange cherry",juicy malic,Washed,Caturra,Colombia
2,90.29,Las Fuentes,$15.10/lb,"$37,553.70","Time’s Club, Honey Coffee, Hisashi Yamamoto Coffee (Unir), Coffee Libre",Mercedes Narvaez de Camacho,1690 masl,Colombia,2013,Acevedo,Huila,perfectly clean and sweet refreshing elegant,"honey red fruits jasmine apricot allspice floral ,peach green apple caramel lime juicy pecan floral suage peanut butter",citric malic tangerine,Washed,,Colombia
3,88.76,El Silencio,$12.10/lb,"$33,287.10","LAF/Almacielo, Roasting House, Coffee Radio",Oscar Ortiz Gonzalez,1607 masl,Colombia,2013,Toledo,Nte de Santander,sift creamy body red wine in finish,"plum vanilla black tea panela sugar vane orange panellla mint candy-like,grape plum jasmine blackberry peach floral brown sugar walnut",tartaric elegant,Washed,,Colombia
4,88.5,Potrero Grande,$9.20/lb,"$22,880.40",MOMOS Coffee,Nancy Muñoz Ñañez,1700,Colombia,2013,Pitalito,Huila,"dark chocolate smooth juicy, very complex sweet rounded","dates, raisins allspice juicy toasty lime lavender,caramel panela dark chocolate molasses brandy butter raspberry","green apple, strawberry",Washed,,Colombia
5,88.09,El Tolu,$9.30/lb,"$23,622.00","TOA COFFEE Co., Ltd. and Arab Coffee",Manuel Duarte Orduz,1710 masl,Colombia,2013,Herran,Nte de Santander,big mouthfeel juicy,"tangerine blackberry floral almond sugar cane marzipan red wine vanilla ,tamarind pie crust spicy red wine sugar cherry dark chocolate macadamia","malic, tartaric",Washed,,Colombia
6,87.85,San Isidro,$8.90/lb,"$22,134.30",DONGJIN TRADING,Alfredo Baos Joaqui,1700,Colombia,2013,Palestina,Huila,well balanced creamy body cocoa butter elegant,"apricot honey anise chocolate caramel peach,sugar cane apricot spicy red wine persimmon very sweet dark chocolate blackberry","structured, bright citric malic",Washed,Caturra,Colombia
7,87.74,La Falda,$10.30/lb,"$25,616.10","Mercanta – UK; Has Bean Coffee – UK; Amor Perfecto – Bogota, Colombia; Java Coffee Company – Poland; Fonte Coffee – USA; Toby’s Estate Coffee – New York;",Jose Arcadio Caro Rueda,2020 masl,Colombia,2013,Urrao,Antioquia,"syrupy body, caramel in finish, juicy, jammy","baking spice nutmeg clove orange hazelnut,cognac plum burnt toffee raisin honey","green apple grapefruit, tart",Washed,Caturra,Colombia
8,87.56,Campo Vello,$8.50/lb,"$21,139.50","World Coffee Co., Ltd.",Abellaned Carvajal Medina,1300 masl,Colombia,2013,Pitalito,Huila,"clean, transparent","cherry floral caramel cinnamon floral red fruit strawberry chocolate brown sugar mango,blackcurrant brown sugar plums dark fruit cranberry watermelon",malic tartaric green apple refined,Washed,Caturra,Colombia
9,87.21,El Recuerdo,$8.30/lb,"$20,642.10","LAF/Almacielo, Roasting House, Coffee Radio",Carlos Mario Guamanga Villaquiran,1700 masl,Colombia,2013,Pitalito,Huila,thick body sweet clean,"grapefruit cherry plum coffee pulp strawberry chocolate orange zest,tropical fruity cherry melon apricot red wine passion frit jasmine",grape tartaric some citric,Washed,,Colombia
10,87.15,El Recuerdo,$8.80/lb,"$21,885.60",Kaffebrenneriet as,Miguel Angel Chilito,1600 masl,Colombia,2013,Pitalito,Huila,"syrupy mouthfeel, velvety","chocolate floral honey panela cane sugar brown sugar,salted caramel, papaya, chocolate brownie, apple, orange, fig, grappa",malic,Washed,Caturra,Colombia
11,87.0,Montero,$9.00/lb,"$22,383.00",Campos Coffee,Luis Eduardo Restrepo Lujan,1600 masl,Colombia,2013,Giraldo,Antioquia,"buttery mouthfeel, well balanced, long aftertaste","hibiscus red wine toasty caramel apricot creamy blackberry panela honey vanilla kiwi fruit,calvados green fruit spicy black tea chocolate malt chocolate",citric complex,Washed,Caturra,Colombia
12,86.88,La Esperanza,$8.50/lb,"$21,139.50",Kyokuto Fadie Corporation,Robinso Figueroa Hernandez,1660 masl,Colombia,2013,Timana,Huila,jammy compact fruit clean creamy body,"peach chocolate sandalwood cherry vanilla sugar cane floral orange ,grape blackberry dark chocolate",juicy tartaric malic,Washed,,Colombia
13,86.56,Providencia,$8.20/lb,"$20,393.40",Campos Coffee,Jesús Albeiro Noguera Gómez,1520 masl,Colombia,2013,Pitalito,Huila,delicate transparent elegant improved on cooling,"jasmine cocoa cherry raspberry plum,orange mango pumpkin spice strawberry",green apple grape,Washed,,Colombia
14,86.44,Buena Vista,$8.10/lb,"$20,144.70",Lofbergs Lila AB,Yubely Ramirez Cruz,1500 masl,Colombia,2013,Pitalito,Huila,anise in finish balanced creamy body,"peach blackberry raisin citric plum tea rose,red apple super fruity maple syrup dark honey",malic,Washed,Caturra,Colombia
15,86.21,Chorrillos,$8.30/lb,"$20,642.10",HARU International Corp.,Luis Alfredo Rojas Fierro,1620 masl,Colombia,2013,Garzón,Huila,well balanced juicy red apple in aftertaste,"cherry dark chocolate caramel rose,plum dark fruits blackcurrant mandarin green apple passion fruit",malic green apple,Washed,,Colombia
16,86.18,El Futuro,$8.10/lb,"$20,144.70","Wataru & Co., Ltd.",Evelio Valderrama Chilito,1700 masl,Colombia,2013,Pitalito,Huila,heavy body caramel,"cinnamon cherry orange plum ,dark chocolate blackcurrant almonds blackberry red apple plum raisin",strawberry malic green apple,Washed,,Colombia
17,86.15,Diamante,$7.50/lb,"$18,652.50","Wataru & Co., Ltd.",Jesus Antonio Apache,1650,Colombia,2013,Acevedo,Huila,clear transparent,"peach strawberry tangerine apricot caramel malt raspberry,sugar cane tangerine caramel spicy blueberry",citric orange balanced,Washed,,Colombia
18,85.79,La Primavera,$7.85/lb,"$31,148.80",Campos Coffee,José Oliver Galindez Cerón,1550 masl,Colombia,2013,Pitalito,Huila,dry walnut finish solid,"honeysuckle allspice cedar ,almond malt caramel cherry hazelnut",tartaric well balanced lime,Washed,,Colombia
19,85.68,Cedro,$7.10/lb,"$17,657.70","Wataru & Co., Ltd.",Faiber Santa Rivera,1570 masl,Colombia,2013,Acevedo,Huila,creamy hibiscus transparent,"honey berry almond coconut,sugar cane chocolate almond caramel nutty",grapefruit tart,Washed,,Colombia
20,85.06,La Esmeralda,$7.60/lb,"$18,901.20","Wataru & Co., Ltd.",Libardo Piedrahita Santacruz,1500,Colombia,2013,Pitalito,Huila,well balanced,"honey chocolate cinnamon marzipan sugar cane,caramel corn malt fig dried plum",grape citric lime spice,Washed,,Colombia
1,91.31,Bella Vista,$45.70/lb,"$117,449.00","BANEXPORT S.A, Cafe 18, Cafe Palo Alto (Colombia) // Wataru & Co., Takamura Coffee Roasters (Japan) // Cafe Imports, George Howell Coffee, ZOKA Coffee (USA) // Cafe Libre, Hankook Coffee, 180 Roasters (S Korea) // HARU Cafe (Taiwan) // Union Hand Roasted Coffee (UK) // Single Origin Roasters (Australia)",Carmen Cecilia Montoya Patiño,2004 masl,Colombia,2014,Urrao,Antioquia,"Body: creamy heavy, sophisticated, transparent aftertaste, elegant","Gesha like, tangerine, orange peel, orange blossom, black current, peach, jasmine chamomile, golden floral","complex VERY, watermelon, tropical, mandarin",,Caturra,Colombia
2,91.09,El Cairo,$22.20/lb,"$61,649.40","Maruyama Coffee, Yamada Coffee, Yokoi Coffee, Iwai Coffee, Tabei Coffee, Coffee a Go Go, Cafe Maple, Ponpon Coffee, Uchida Coffee, Sugi Coffee Roasting, Branch Coffee, Thoth Coffee, Adachi Coffee, Saza Coffee",Lucas German Melo Pinchao,2200 masl,Colombia,2014,Consaca,Nariño,"harmonious, candied sweetness. Body: complex velvety rich, creamy silky","black current vanilla, peach, mango winy, tropical fruits, melon lime, black tea, caramelized peaches, chocolate cover fruit, semi-sweet, cocoa","complex citric, black current pineapple, tropics dried, fruits, floral",,Colombia 20% Caturra 20% Castillo 60% ,Colombia
3,90.59,La Esperanza,$22.20/lb,"$57,054.00","Coffee Bean International, Specialty Coffee by Farmer Brothers",Pablo Emilio Montoya Caro,2004 masl,Colombia,2014,Urrao,Antioquia,"Body: HUGE, richRepresents classic Colombia n profile with richness, and heavy, clean structure","banana, toffee butterscotch honey suckle black current, cloves. Plum, pineapple, watermelon, sweet, grape, cherry raisins, hibiscus, peach, white chocolate, toffee, caramel","complex, phosphoric, sparkling, refines, quince, better as cooled",,Caturra,Colombia
4,89.31,El Naranjo,$6.21/lb,"$22,952.16","WATARU for TAKAMURA COFFEE ROASTERS, TAF COFFEE",Gonzalo Dagua Conda,1750 masl,Colombia,2014,Caloto,Cauca,"aftertaste, good mouthful, clarity, minty chocolate, clean, exotic, unique.Body: silky, very syrupy","mint x4, eucalyptus, eucalyptus, fresh parsley, anise, cardamom, exotic, lemon peel, chocolate x4","mandarin, pineapple, juicy, sparkling, grapefruit, explosive, citric, zest lime, mint julep",,,Colombia
5,89.13,Majagual,$12.50/lb,"$34,862.50",Terarosa Coffee,Jesus Maria Martinez Gomez,1750 masl,Colombia,2014,Condordia,Antioquia,"lingering aftertaste, unique ideal, strong personality, opened as cooled.Body: medium, creamy, balanced, gentle","green apple, black cherry caramel, port wine, fruit, chocolate dark, caramel, sweet peas mango","complex, citrus, zesty, orange, green grape, plum",,Caturra,Colombia
6,88.56,El Guamito,$10.35/lb,"$25,833.60","ALMACIELO(S.KOREA), De Ballon(S.KOREA)",Bautista Dizu Dagua,1900 masl,Colombia,2014,Jambalo,Cauca,"transparent, citric to mallic aftertaste, very forward aggressive.Body: creamy silky","white chocolate, lemon peel, fresh peach and pineapple, orange honeysuckle","citrus, brilliant, bright",,,Colombia
7,88.19,Las Palmas,$9.10/lb,"$23,159.50","HARU International Corp., M.I. COFFEE Co. LTD.",Edgar Dagua Corpus,1600 masl,Colombia,2014,Miranda,Cauca,"sugar cane finish, long and sweet.Body: smooth, velvety","strawberry rhubarb, cantaloupe, lime zest mint, chocolaty","mallic, effervescent, lemon citric green apple pineapple",,,Colombia
8,87.91,San Pedro,$5.00/lb,"$23,305.00",EL CAFE coffee roasters,Olga Garzon de Diaz del Castillo,1550 masl,Colombia,2014,Consaca,Nariño,"elegant, harmonious, balance.Body: creamy, well rounded","winy, sweet lemon, chocolate, apricot. V=black cherry walnuts, grapes, red, caramel, brown sugar coco rose","vibrant, orange citrus, sparkling, high",,,Colombia
9,87.69,Las Margaritas,$9.20/lb,"$22,733.20","Time’s Club, Coffee Libre, TASHIRO COFFEE Co., Ltd.",Eduardo Torres Barreto,1700 masl,Colombia,2014,Genova,Quindio,"Body: , creamy, silky, syrup","spiced tobacco, candy orange, dark chocolate, hazelnut, dark chocolate cedar","malic, pear, red apple, cotton candy",,Caturra,Colombia
10,87.5,El Danubio,$7.60/lb,"$18,969.60","TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd",Oscar Sigifredo Trejos,2000 masl,Colombia,2014,Toribio,Cauca,"Body: creamy, honey, elegant, unusual profile","minty, chocolate, malt zesty lime, crisp cherry plum, citric, sparkling, orange candy sweetness","sparkle and structure, lemon zest",,,Colombia
11a,86.94,La Falda (2014),$8.50/lb,"$22,159.50",Kyokuto Fadie Corporation,Jose Arcadio Caro Rueda,1950 masl,Colombia,2014,Urrao,Antioquia,"blossomed as cooled, better as cooled, good combination of aftertaste and walnuts and tangerine, nutty, savory nut. Body: balanced, medium high","winey, sangria, black cherry, honey pineapple. blackcurrent","crisp complex, lively, citric, and malic",,Caturra,Colombia
11b,86.94,El Aguacate,$7.20/lb,"$23,623.20","Nippon Coffee Trading Co.,Ltd for Doi Coffee",Jose Vincente Delgado Zarama,2300 masl,Colombia,2014,Yacuanquer,Nariño,"very clean.Body: very heavy, smooth, velvet","licorice, spicy, grapefruit, molasses, spice raisin, gingerbread, sugar, jasmine, spice","clean mallic, crisp, refreshing",,Castillo,Colombia
12a,86.84,Verdum,$4.60/lb,"$14,177.20","32cup, Cantata, DBC.nl, Vivasara, Caffénation, lot61",Maria Elena Garces Posada,1750 masl,Colombia,2014,Condordia,Antioquia,"caramel, rich.Body: creamy, full","lemon peel, yellow fruits, apricot, jasmine, floral, strawberry, rasp, blackberry, cedar","tartaric complex, lemon peel, vanilla, lychee, peaches",,,Colombia
12b,86.84,La Primavera,$7.65/lb,"$19,002.60",Campos Coffee,Salustriano Julicue Coicue,1824 masl,Colombia,2014,Toribio,Cauca,"red wine blackberry.Body: juicy, creamy, smooth","red plum, green apple, vanilla, chocolate, rasp and cranberry raisin","citrus, orange, lime like",,,Colombia
13,86.83,La Loma,$5.40/lb,"$13,203.00",elbgold Roestkaffee GmbH,Ramon Arcelio Zapata Sepulveda,1700 masl,Colombia,2014,Condordia,Antioquia,"berries, plum, smooth long lasting finish.Body: silky round buttery, smooth","vanilla, milk chocolate, jasmine","lemon, fruit, orange",,,Colombia
14,86.78,Las Colinas,$5.10/lb,"$14,851.20",honuKATOCOFFEE Inc.,Santiago Fernandez,1750 masl,Colombia,2014,Caloto,Cauca,"lingering, really really clean, long lasting finish.Body: well rounded, silky smooth","mint, sugar cane, cinnamon, lime",sparkling lime lemon,,,Colombia
15,86.63,El Porvenir,$6.20/lb,"$15,376.00",WATARU for OGAWA COFFEE,Alba Janet Guacan Cebellos,2035 masl,Colombia,2014,Yacuanquer,Nariño,"balanced, harmonious.Body: juicy, silky, medium","apricot, chocolate, strawberry, jasmine, caramel, stone fruit, blackberry","tartaric, strawberry, grapefruit, complex, structure, balanced between sweet beautiful acidity, sophisticated, elegant, multi-faceted, honey finish",,,Colombia
16,86.45,El Roble,$5.10/lb,"$12,795.90",honuKATOCOFFEE Inc.,Jairo Gomez Acosta,1790 masl,Colombia,2014,Almaguer,Cauca,"distinct. Body: buttery, consistent, medium creamy body","mandarin, honey walnuts, pomegranate, tamarind, spicy","citric, tart, juicy",,Colombia 50% Castillo 50% ,Colombia
17,86.38,Agua Caliente,$5.10/lb,"$12,729.60",Campos Coffee,Emeterio Narvaez Oviedo,2000 masl,Colombia,2014,El Tablon,Nariño,"very clean and com, winy finish.Body: silky, smooth, velvety","butter, dark honey and red berry fruit, orange apple butter apricot, chocolate malt, shortbread","citric, malic, interesting complex, juicy cherry",,,Colombia
18,86.28,El Fresno,$4.40/lb,"$11,136.40",MC FOODS LIMITED,Maria Helena Martinez de Rosero,1889 masl,Colombia,2014,San Lorenzo,Nariño,"improved as cooled, clean and sweet.Body: smooth, silky","chocolate, brown sugar, nuts",crisp,,Castillo,Colombia
19a,86.25,Tamboral,$4.20/lb,"$10,432.80","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Marleny Guarin Ocampo,1800 masl,Colombia,2014,Aguadas,Caldas,"sweet, honey like, brown sugar.Body: heavy body, round, lingering, light","honeydew, sweet grapefruit, walnut, nutty, toffee coco, plum, black berry, mango or peel","sparling, citrus, complex",,,Colombia
19b,86.25,El Balso,$4.20/lb,"$10,537.80","Wataru & Co., Ltd",Libardo Lasso Muñoz,1901 masl,Colombia,2014,Buesaco,Nariño,"unified flavors, good foundation, juicy. Body: medium, elegant, smooth, round","dried fruits, coco, cedar, malt, caramel, rasp peach nectarine, tropical fruits, mango, and grape reds","clear, citrus, complex, phosphorus, vibrant, sparkling, and bright",,Castillo,Colombia
