Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
10,11,86.14,El Morito II,,$7.50/lb,"$16,980.00 ",Wataru for OGAWA COFFEE,"Monterroso Pineda, José Roberto",1372-2042,Guatemala,2014,Mataquescuintla,Jalapa,black plums.Body: creamy,"pepper and anise, floral, violet, red wine, berries","bright, refined, lively",,Pacamara,,23 ha,Guatemala
11,12,86.11,Santa Ileana,,$10.00/lb,"$23,420.00 ",Kyokuto Fadie Corporation,"Agropecuaria Aguapica, S.A.",1585-1798,Guatemala,2014,Pueblo Nuevo Viñas,Santa Rosa,"juicy, stone fruits.Body: silky, buttery","brown sugar, caramel, orange, red fruits, green tea, red apple","citric, fruity, lively",,Catuai,,80 ha,Guatemala
12,13,85.72,Pacamaral,,$7.40/lb,"$16,139.40 ","Wataru & Co., Ltd","Inmobiliaria SMA, S.A.",1579-1850 masl,Guatemala,2014,Pueblo Nuevo Viñas,Santa Rosa,"berries, plum, smooth long lasting finish.Body: silky round buttery, smooth","vanilla, milk chocolate, jasmine","lemon, fruit, orange",,Catuai,,119 ha,Guatemala
13,14,85.64,Antigua Buena Vista y Anexos,,$7.45/lb,"$14,534.95 ",Momos Coffee,Entre Caminos,1500-1800 masl,Guatemala,2014,Jocotenango,Sacatepequez,"Body: round, rich, kinds, lush","floral, cocoa=late, caramel, stone fruits, hint orange, plum","malic, citric, lively",,Bourbón,,60 ha,Guatemala
14,15a,85.5,El Carmen,,$7.65/lb,"$22,468.05 ","St.berry Coffee, Ishii Corporation, Magnolia Coffee Roasters, Marumi Coffee, Taniguchi Coffee, Coffee Factory, Kasai Coffee, Nagahama Coffee Inc, Voila coffee","Mejia Garcia, Juan José",1676-2134 masl,Guatemala,2014,Acatenango,Chimaltenango,"lemon notes stone fruit, lingering aftertaste.Body: silky","dark chocolate, brown sugar cane honey suckle peach","citric, bright, complex",,Bourbón,,102 ha,Guatemala
15,15b,85.5,El Limonar,,$7.65/lb,"$18,352.35 ","Wataru & Co., Ltd","Ovalle Mont, Rosa Maria",1311-1829 masl,Guatemala,2014,La Libertad,Huehuetenango,"juicy.Body: creamy, round","stone fruit, melon, grapes, floral, choc caramels","lime, citrus, orange, lively",,Mundo Novo,,142 ha,Guatemala
16,16,85.44,San Florencio,,$7.30/lb,"$20,994.80 ",honuKATOCOFFEE Inc.,"Herrera San Juan, Olga Victoria",1524-1829 masl,Guatemala,2014,San Juan Ostuncalco,Quetzaltenango,"transparent.Body: silky smooth body, round","vanilla, brown sugar, citrus, honey, dark chocolate, tangerine","tangerine, bright, lively complex, grapefruit",,Bourbón,,30 ha,Guatemala
17,17,85.42,Guatalon,,$7.40/lb,"$17,863.60 ",Coffee Bean International on behalf of Nordstrom Specialty Coffee,"Juarez Solares, Guillermo Antonio",1326-1737,Guatemala,2014,Santa Rosa de Lima,Santa Rosa,"choc nib, berry and red wine.Body: silky, smooth lingering","coffee blossom, vanilla, sugar cane, jasmine, lemon, gooseberry, sweet floral mango","malic, citrus, orange, lime, grape",,Pache,,100 ha,Guatemala
18,18,85.31,San Agustin Las Cañas,,$8.80/lb,"$17,054.40 ",Kaffebrenneriet as,"Operadora Santa Clara, S.A.",1615-1890 masl,Guatemala,2014,Antigua,Sacatepequez,"well balance red wine, melon, improved as cooled.Body: creamy, thick oily","brown sugar, caramel, butterscotch, honey, apricot, peaches and cream","crisp malic, grape citric",,Bourbón,,26 ha,Guatemala
19,19,85.28,Idolia,,$7.44/lb,"$17,104.56 ","Wataru & Co., Ltd","Azúcar y Café, S.A.",1615-1814 masl,Guatemala,2014,Pueblo Nuevo Viñas,Santa Rosa,"berry like, dessert pear, stone fruit, harmonious.Body: round, smooth, velvet","grapefruit, floral, lime, coriander, vanilla, raspberry","complex, lively, tartaric, flora.",,Bourbón,,27 ha,Guatemala
20,20a,85.22,Villaure,,$7.50/lb,"$20,430.00 ","ONYX COFFEE on behalf of Coffee Tree Roasters, Fairbean Coffee, Portland Roasting, Bold Java, Matchstick Coffee Roasters and Seeds Coffee","Villatoro Castillo, Aurelio",1372-1783,Guatemala,2014,Cuilco,Huehuetenango,"Body: dense, consistent, syrupy","caramel, floral, chocolate, honey","refined, bright, orange",,Bourbón,,31 ha,Guatemala
21,20b,85.22,La Colina,,$7.25/lb,"$19,306.75 ","Nippon Coffee Trading Co.,Ltd",Emilio Medina,1600-1798 masl,Guatemala,2014,San Martin Jilotepeque,Chimaltenango,"solid, well balanced, consistent, rich.Body: creamy, full, syrupy","chocolate, citrus, honey, brown sugar, vanilla","citrus, malic, fruity, apple",,Bourbón,,182 ha,Guatemala
22,21,85.17,Miralvalle,,$8.05/lb,"$16,462.25 ",Food service Ukraine,Jorge Villatoro,1372-1867 masl,Guatemala,2014,San Pedro Necta,Huehuetenango,"Body: big, round, dense","caramel, honey, chocolate","citric, bright",,Bourbón,,17 ha,Guatemala
23,22,85.08,San Jose Ocaña,,$7.30/lb,"$16,300.90 ","Wataru & Co., Ltd","Inmobiliaria Giarfe, S.A.",1890-1951 masl,Guatemala,2014,San Juan Sacatepequez,Guatemala,delicate aftertaste. Body: round,"tobacco, toasty, caramel","bright, lively, citric, structure","Washed , Sun",Bourbón Catuai,,275 ha,Guatemala
24,1,90.72,El Injerto I,,$25.80/lb,"$55,132.28 ","Wataru & Co., Ltd. for Takamura Coffee Roasters",El Injerto S.A,,Guatemala,2015,La Libertad,Huehuetenango,"Well balanced, dense, silky","Cinnamon, floral, dark chocolate, mango, lemon","Bright, complex, malic",,Pacamara,,-,Guatemala
25,2,89.78,El Morito I (2015),,$18.80/lb,"$42,461.87 ","Time’s Club, Kyokuto Fadie Corporation, Tashiro Coffee (JAPAN) // Coffee Libre (KOREA) // Zoka Coffee Inc, Nobletree Coffee (USA)",José Roberto Monterroso Pineda,,Guatemala,2015,Mataquescuintla,Jalapa,"Harmonious, syrupy","Candy, plum, mango","Bright, fruit",,Pacamara,,-,Guatemala
26,3,88.78,El Socorro,,$13.40/lb,"$40,182.45 ","Maruyama Coffee, Yokoi Coffee, Adachi Coffee, Yamada Coffee, Saza Coffee (JAPAN) // Orsir Coffee (TAIWAN), Single Origin Roasters",CERCOL S.A.,,Guatemala,2015,Palencia,Guatemala,"Harmonious, creamy, lingering aftertaste","Fruit, cherry, tangerine","Bright, lively, malic",,Maracaturra,,-,Guatemala
27,4,88.65,Miralvalle (2015),,$11.90/lb,"$24,909.91 ","UCC Ueshima Coffee Co., Ltd.",Jorge Heberto Villatoro Gómez,,Guatemala,2015,San Pedro Necta,Huehuetenango,Syrupy,"Vanilla, peach","Complex, apple, grape, bright",,Bourbón,,-,Guatemala
28,5,88.6,Villaure (2015),,$9.60/lb,"$27,250.85 ",TERAROSA (S.KOREA),Aurelio Villatoro Castillo,,Guatemala,2015,Cuilco,Huehuetenango,"Balanced, integrated, syrupy, round, juicy","Floral, cinammon, caramelized sugar, peach","Bright, citric",,Bourbón,,-,Guatemala
29,6,88.38,Las Macadamias,,$11.40/lb,"$23,203.45 ","Wataru & Co., Ltd.",Las Macadamias S.A.,,Guatemala,2015,La Libertad,Huehuetenango,"Smooth, round, well balanced","Apple, plum, black tea","Bright, malic",,Bourbón,,-,Guatemala
30,7,88.25,La Esperanza,,$9.90/lb,"$28,773.56 ",Campos Coffee,Eleodoro de Jesús Villatoro López,,Guatemala,2015,La Libertad,Huehuetenango,Syrupy,"Candy, lemon, plum","Citric, malic",,Bourbón,,-,Guatemala
31,8,87.93,La Colina,,$9.40/lb,"$22,744.80 ",Kyokuto Fadie Corporation,Emilio Antonio Medina Garcia,,Guatemala,2015,San Martin Jilotepeque,Chimaltenango,"Round body, silky","Floral, honey, caramel","Citric, orange",,Bourbón,,-,Guatemala
32,9,87.53,Corral Viejo,,$11.20/lb,"$22,796.37 ",TERAROSA (S.KOREA),Corral Viejo S.A.,,Guatemala,2015,Sansare,El Progreso,"Syrupy, silky, long finish, floral",Sweet cherry,"Bright, complex",,Bourbón,,-,Guatemala
33,10,87.4,Rio Arriba,,$8.80/lb,"$26,673.68 ","TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd",CERCOL S.A.,,Guatemala,2015,Palencia,Guatemala,Smooth,"Candy, dark chocolate, floral","Bright, malic, citric",,Bourbón,,-,Guatemala
34,11,86.4,San Guayaba,,$6.70/lb,"$19,561.72 ",COFFEE TEK Roasters [S.KOREA],CERCOL S.A.,,Guatemala,2015,Palencia,Guatemala,"Balanced, creamy, smooth","Caramelized sugar, peach","Bright, malic, citric",,Bourbón,,-,Guatemala
35,12,86.3,San Sebastian,,$6.90/lb,"$19,983.64 ",M.I. COFFEE CORPORATION,Agropecuaria SALFAR S.A.,,Guatemala,2015,San Miguel Dueñas,Sacatepequez,"Balanced, dense","Sweet, candy, chocolate","Malic, fruit",,Bourbón,,-,Guatemala
36,13,86.2,Santa Rosa Buenos Aires,,$7.10/lb,"$13,617.80 ",HARU International Corp.,Hacienda Santa Rosa Buenos Aires S.A.,,Guatemala,2015,La Democracia,Huehuetenango,"Creamy, very balanced","Caramel, fruit, orange","Bright, citric",,Typica,,-,Guatemala
37,14,86.13,La Bendicion,,$7.00/lb,"$14,958.37 ",Wataru for Ogawa Coffee,José Constantino Gómez Reyes,,Guatemala,2015,Palencia,Guatemala,"Creamy, long aftertaste","Candy, floral, orange, chocolate, peach","Malic, orange",,Pache,,-,Guatemala
38,15,86.1,Concepcion Pixcaya,,$6.90/lb,"$15,198.70 ","S U P R E M O (Munich, Germany)",Concepción Pixcaya S.A.,,Guatemala,2015,San Juan Sacatepequez,Guatemala,"Harmonious, balanced, creamy","Candy, dark chocolate","Citric, apple, malic",,Bourbón,,-,Guatemala
39,16,86.05,Santa Ana,,$6.80/lb,"$15,122.45 ","Wataru & Co., Ltd.",Azucar y Café S.A.,,Guatemala,2015,Pueblo Nuevo Viñas,Santa Rosa,"Juicy, smooth","Candy, nut, peach, apple, orange","Bright, complex, citric",,Bourbón,,-,Guatemala
40,17a,85.97,El Guachipilin,,$6.80/lb,"$17,539.78 ",honuKATOCOFFEE Inc.,Aimee Lucia Perez Rios,,Guatemala,2015,Acatenango,Chimaltenango,"Round body, creamy","Candy, vanilla, cholocate","Malic, fruit, lively",,Pache,,-,Guatemala
41,17b,85.97,El Tambor,,$6.60/lb,"$14,618.74 ",DONGJIN TRADING,Los Moshos S.A.,,Guatemala,2015,Palencia,Guatemala,"Harmonious, creamy","Cinnamon, white chocolate, almond","Malic, citric, fruits",,Bourbón,,-,Guatemala
42,18,85.93,La Providencia II,,$6.40/lb,"$18,814.91 ",MOMOS COFFEE,Alfonso Augusto Anzueto de León,,Guatemala,2015,San Pedro Necta,Huehuetenango,"Harmonious, full body","Floral, fruit, candy, wine","Citric, tartaric",,Pacamara,,-,Guatemala
43,19,85.78,Alotepeque,,$6.60/lb,"$20,393.74 ",M.I. COFFEE CORPORATION,Mario Jordan Duarte,,Guatemala,2015,Concepcion Las Minas,Chiquimula,"Smooth, lingering after taste","Candy, dark chocolate, lemon","Bright, smooth",,Pacamara,,-,Guatemala
44,20,85.72,El Vergel,,$6.50/lb,"$14,461.72 ","Wataru & Co., Ltd.",Fausto Schell Aguilar,,Guatemala,2015,San Rafael Pie de la Cuesta,San Marcos,"Juicy, clean, creamy","Candy, almond, vanilla","Grape, Citrus, refined",,Bourbón Catuai Caturra,,-,Guatemala
45,21,85.5,San Isidro,,$6.20/lb,"$17,048.76 ","RYANS COFFEE ROASTERS, Cafe Nara, Cafe Q, KOALA COFFEE FACTORY, Cafe 46, THE CORNER, millo coffee roasters",Agricola San Isidro S.A.,,Guatemala,2015,"San Martin, Sacatepequez",Quetzaltenango,"Syrupy, silky, long finish","Caramel, peach, caramelized sugar","Bright, citric",,Bourbón,,-,Guatemala
46,22,85.15,El Platanar y Anexos (2015),,$6.70/lb,"$14,778.19 ",Kaffebrenneriet as,Hector De la Roca Perez,,Guatemala,2015,Acatenango,Chimaltenango,"Round body, creamy","Caramel, fruit, chocolate","Bright, citric",,Bourbón,,-,Guatemala
47,23,85.1,El Aguacate,,$6.50/lb,"$19,532.31 ","Wataru & Co., Ltd.",Jovito Arnoldo Aguilar Muñoz,,Guatemala,2015,Mataquescuintla,Jalapa,Creamy,"Candy, red apple","Grape, Citrus",,Pache,,-,Guatemala
48,1a,92.09,Kalibús la Sierra 2016,,$42.10/lb,"$40,289.70 ","Dabov Specialty Coffee, Latorre & Dutch Coffee Traders, Dutch Barista Coffee Company","Castillo Cerezo, Pompeyo",,Guatemala,2016,San Cristobal Acasaguastln,El Progreso,"Juicy, Long-lasting, Smooth, Well balanced, Creamy, Smooth, Improved as it cools, Honey, Juicy, Sweet","Floral, Lemon, Grape, Green apple, Honey, Jasmine, Melon, Peach, Plum, Red apple","Citric, Complex, Malic, Red apple, Refined, Tartaric",Washed,Gesha,,-,Guatemala
49,1b,92.09,Kalibús la Sierra 2016,,$37.40/lb,"$35,791.80 ",CKcorporations for LUSSO coffee(KOREA),"Castillo Cerezo, Pompeyo",,Guatemala,2016,San Cristobal Acasaguastln,El Progreso,"Juicy, Long-lasting, Smooth, Well balanced, Creamy, Smooth, Improved as it cools, Honey, Juicy, Sweet","Floral, Lemon, Grape, Green apple, Honey, Jasmine, Melon, Peach, Plum, Red apple","Citric, Complex, Malic, Red apple, Refined, Tartaric",Washed,Gesha,,-,Guatemala
50,2a,91.18,Los Jutes,,$53.10/lb,"$13,381.20 ",Brew92,"Meneses Hernandez, Ana Lucia",,Guatemala,2016,Acatenango,Chimaltenango,"Juicy, Delicate, Long-lasting, Harmonious, Well balanced, Transparent, Silky, Smooth, Improved as it cools, Honey, Sweet","Caramel, Blueberry Berries, Fruit, Blackcurrant, Brown sugar, Cinammon, Fruit, Jasmine, Melon, Peach, Strawberry","Citric, Complex, Fruit, Lactic, Malic",Natural,Gesha,,-,Guatemala
51,2b,91.18,Los Jutes,,$53.00/lb,"$13,356.00 ","Latorre & Dutch Coffee Traders, LaB Coffee & Roasters (USA), Knockhouse Supply Co. Singapore","Meneses Hernandez, Ana Lucia",,Guatemala,2016,Acatenango,Chimaltenango,"Juicy, Delicate, Long-lasting, Harmonious, Well balanced, Transparent, Silky, Smooth, Improved as it cools, Honey, Sweet","Caramel, Blueberry Berries, Fruit, Blackcurrant, Brown sugar, Cinammon, Fruit, Jasmine, Melon, Peach, Strawberry","Citric, Complex, Fruit, Lactic, Malic",Natural,Gesha,,-,Guatemala
52,3a,91.06,El Injerto I,,$23.60/lb,"$29,146.00 ","Coffee Libre, Deep Blue Lake, Coffee Montage, Coffee Place","Aguirre Escobar, Arturo De Jesus",,Guatemala,2016,La Libertad,Huehuetenango,"Juicy, Long-lasting, Well balanced, Clean, Smooth, Improved as it cools, Caramel, Honey, Juicy","Caramel, Apricot, Brown sugar, Caramel, Floral, Grape, Green apple, Jasmine, Kiwi, Lemon, Mango, Melon, Orange, Peach","Bright, Citric, Complex, Grapes, Lemon, Lively",Washed,Pacamara,,-,Guatemala
53,3b,91.06,El Injerto I,,$23.60/lb,"$29,146.00 ",Kyokuto Fadie Corporation,"Aguirre Escobar, Arturo De Jesus",,Guatemala,2016,La Libertad,Huehuetenango,"Juicy, Long-lasting, Well balanced, Clean, Smooth, Improved as it cools, Caramel, Honey, Juicy","Caramel, Apricot, Brown sugar, Caramel, Floral, Grape, Green apple, Jasmine, Kiwi, Lemon, Mango, Melon, Orange, Peach","Bright, Citric, Complex, Grapes, Lemon, Lively",Washed,Pacamara,,-,Guatemala
54,4a,90.76,El Centro,,$29.60/lb,"$21,272.34 ","Maruyama Coffee, Uchida Coffee, Coffee A Go Go","Valladares Rodriguez, Inmer Abel",,Guatemala,2016,Monjas,Jalapa,"Lingering, Long-lasting, Smooth, Harmonious, Well balanced, Clean, Silky, Smooth, Tea Like, Honey, Sweet","Floral, Fruit, Green apple, Jasmine, Orange, Peach, Apricot, Floral, Honey, Jasmine, Mango, Melon, Orange, Peach, Raspberry","Citric, Malic",Honey,Gesha,,-,Guatemala
55,4b,90.76,El Centro,,$29.20/lb,"$19,077.24 ",Grand Cru Coffee (Hong Kong),"Valladares Rodriguez, Inmer Abel",,Guatemala,2016,Monjas,Jalapa,"Lingering, Long-lasting, Smooth, Harmonious, Well balanced, Clean, Silky, Smooth, Tea Like, Honey, Sweet","Floral, Fruit, Green apple, Jasmine, Orange, Peach, Apricot, Floral, Honey, Jasmine, Mango, Melon, Orange, Peach, Raspberry","Citric, Malic",Honey,Gesha,,-,Guatemala
56,5a,90.44,La Bella (2016),,$20.30/lb,"$21,908.57 ",Campos Coffee,"Engelhardt Ortega, Teodoro Enrique",,Guatemala,2016,San Agustin Acasaguastln,El Progreso,"Juicy, Long-lasting, Well balanced, Smooth, Honey, Juicy","Caramel, Lemon, Berries, Black tea, Chocolate, Grape, Green apple, Red apple","Bright, Citric, Red apple",Washed,Pacamara,,-,Guatemala
57,5b,90.44,La Bella (2016),,$21.00/lb,"$21,330.96 ","UCC Ueshima Coffee Co., Ltd.","Engelhardt Ortega, Teodoro Enrique",,Guatemala,2016,San Agustin Acasaguastln,El Progreso,"Juicy, Long-lasting, Well balanced, Smooth, Honey, Juicy","Caramel, Lemon, Berries, Black tea, Chocolate, Grape, Green apple, Red apple","Bright, Citric, Red apple",Washed,Pacamara,,-,Guatemala
58,6,89.5,Bella Elizabeth (2016),,$15.15/lb,"$32,845.20 ","TOA COFFEE, ARAB COFFEE, Coffee Meikan","Argueta Herrera, Erwin Humberto",,Guatemala,2016,San Pedro Necta,Huehuetenango,"Juicy, Long-lasting, Smooth, Well balanced, Creamy, Round, Caramel","Floral, Orange, Brown sugar, Caramel, Honey, Red apple, Sweet, Swiss chocolate","Citric, Complex, Malic, Red apple",Washed,Caturra,,-,Guatemala
59,7,89.18,Las Macadamias,,$15.70/lb,"$39,878.00 ",TERAROSA(HAKSAN Co.Ltd),"Aguirre Saenz, Arturo Manuel",,Guatemala,2016,La Libertad,Huehuetenango,"Juicy, Round, Smooth","Caramel, Brown sugar, Orange, Plum, Red apple","Bright, Citric, Malic, Orange",Washed,,,-,Guatemala
60,8,89.09,El Vergel (2016),,$12.10/lb,"$36,892.90 ",Camel Step Roasters,"Gonzalez Menchu, Juan Francisco",,Guatemala,2016,San Rafael Pie de la Cuesta,San Marcos,"Juicy, Long-lasting, Smooth, Honey, Juicy","Caramel, Dark chocolate, Grape, Orange, Red wine",Red apple,Washed,Caturra,,-,Guatemala
61,9,88.94,El Morito I (2016),,$15.40/lb,"$33,387.20 ",Kyokuto Fadie Corporation,"Monterroso Pineda, Jos Roberto",,Guatemala,2016,Mataquescuintla,Jalapa,"Long-lasting, Well balanced, Honey, Juicy","Orange, Buttery, Caramel, Vanilla, Chocolate, Grape, Green apple, Lemon, Peach, Red apple","Citric, Complex, Fruit, Malic",Washed,Pacamara,,-,Guatemala
62,10,88.88,Miralvalle (2016),,$15.55/lb,"$33,541.35 ","UCC Ueshima Coffee Co., Ltd.","Villatoro Gmez, Jorge Heberto",,Guatemala,2016,San Pedro Necta,Huehuetenango,"Smooth, Well balanced, Creamy, Caramel, Honey, Juicy, Sweet","Caramel, Brown sugar, Dark chocolate, Green apple, Honey, Orange, Red apple","Citric, Orange",Washed,Caturra,,-,Guatemala
63,11a,87.44,El Morito II (2016),,$11.50/lb,"$26,231.50 ",Marubeni Foods,"Monterroso Pineda, Jos Roberto",,Guatemala,2016,Mataquescuintla,Jalapa,"Well balanced, Round, Smooth, Sweet","Green apple, Mango, Orange, Stone fruit","Citric, Complex, Fruit, Grapes, Green apple, Malic, Orange, Red apple",Washed,Catuai,,-,Guatemala
64,11b,87.44,Santa Bárbara,,$10.40/lb,"$30,430.40 ",NAGAHAMA COFFEE Inc.,"Ventura Zamora, Mario Rafael",,Guatemala,2016,Fraijanes,Guatemala,"Juicy, Smooth","Caramel, Fruit, Almond, Green apple, Green tea, Jasmine, Lemon, Orange","Citric, Complex, Fruit, Lemon",Washed,Mundo Novo Typica,,-,Guatemala
65,13,87.24,La Esperanza de Méndez (2016),,$8.30/lb,"$23,563.70 ","Tres Cabezas Berlin Stock Spittel GbR, List & Beisler GmbH Hamburg","Mendez Juarez, Rogelio",,Guatemala,2016,San Cristobal Cuchu,San Marcos,"Smooth, Delicate, Well balanced, Creamy, Round, Honey, Juicy","Almond, Caramel, Green apple, Pear, Soft","Citric, Complex, Soft",Washed,,,-,Guatemala
66,14a,87,Plan de la Vega (2016),,$8.30/lb,"$21,463.80 ",Orsir Coffee(Taiwan),"Argueta Herrera, Erwin Humberto",,Guatemala,2016,Union Cantinil,Huehuetenango,"Juicy, Round, Caramel, Sweet","Brown sugar, Buttery, Dark chocolate, Red apple, Caramel, Orange","Fruit, Lemon, Malic, Soft",Washed,Caturra,,-,Guatemala
67,14b,87,Las Mercedes y Anexos (2016),,$9.25/lb,"$20,646.00 ","Nippon Coffee Trading Co.,Ltd","Quilo Ayuso, Jose Luis",,Guatemala,2016,Mataquescuintla,Jalapa,"Well balanced, Smooth, Sweet","Dark chocolate, Brown sugar, Caramel, Chocolate, Grape, Orange, Stone fruit","Citric, Grapes, Malic",Washed,Catuai,,-,Guatemala
68,16a,86.76,Guatalon (2016),,$8.15/lb,"$23,732.80 ","Wataru & Co., Ltd.","Juarez Solares, Guillermo Antonio",,Guatemala,2016,Santa Rosa de Lima,Santa Rosa,"Well balanced, Silky, Smooth, Honey, Sweet","Dark chocolate, Nutty, Sweet, Orange, Plum","Bright, Citric, Orange",Washed,Pacas,,-,Guatemala
69,16b,86.76,Rio Arriba (2016),,$10.20/lb,"$21,624.00 ","Time’s Club, Coffee Libre, Proud Mary","De La Cerda Bianchi, Juan Diego",,Guatemala,2016,Palencia,Guatemala,,"Brown sugar, Dark chocolate, Lemon, Orange",Citric,Washed,,,-,Guatemala
70,18,86.74,San Guayaba (2016),,$10.20/lb,"$21,981.00 ",Kaffebrenneriet as,"De La Cerda Bianchi, Juan Diego",,Guatemala,2016,Palencia,Guatemala,"Smooth, Sweet","Caramel, Dark chocolate, Floral, Orange, Plum","Citric, Malic",Washed,Pacamara,,-,Guatemala
71,19,86.71,La Maravilla (2016),,$9.20/lb,"$21,758.00 ",MC FOODS LIMITED,"Rosales Vasquez, Mauricio",,Guatemala,2016,La Libertad,Huehuetenango,"Smooth, Caramel, Honey","Buttery, Caramel, Cherry, Milk Chocolate, Dark chocolate","Citric, Malic",Washed,,,-,Guatemala
72,20,86.44,San Antonio de Esquipulas y…,,$7.10/lb,"$26,830.90 ","Wataru & Co., Ltd.","Ovalle Alvarado, Jorge Sergio Tulio",,Guatemala,2016,La Democracia,Huehuetenango,"Silky, Syrupy, Smooth, Honey, Juicy, Sweet","Green apple, Mandarine, Orange","Bright, Citric, Lively, Malic",Washed,Catuai,,-,Guatemala
