Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
10,9,89.0,El Arenal,253.47,$30.20,"$7,654.79","ETHICUS coffee roasters,
GLITCH COFFEE & ROASTERS,
LEAVES COFFEE ROASTERS,
WAVY COFFEE ROASTERS",Magaly Portilla Zambrano,1520.0,Ecuador,2021,,,"Complex, Complex and sweet aromatics, Dried Dates, Mango, Overall Sweet, Sweet","Floral (3), Apricot (2), Chamomile (2), Stone Fruit (2), Vanilla (2), Almond, Apple, Bittersweet Chocolate, Caramel, Cedar, Cherry, Chocolate, Dark Chocolate, Ginger floral, Grapefruit, Green Apple, Hibiscus, Honeydew, Jasmine, Lime, Mango, Milk Chocolate, Mint, Orange, Papaya, Passion Fruit, Peach, Peaches, Pear, Pineapple, Rose, Sweet & Sugary, Tangerine, Yea tree","Malic Acid (5), Citric Acid (2), Citrus, Crisp, Grapefruit, Green Apple, Lemon, Lemon & Lime, Orange, Structured, Tangerine, White Grape",Washed,Gesha,,,Ecuador
11,10,88.39,Meridiano,349.42,$17.10,"$5,975.08","Wataru & Co., Ltd.",Mario Jose Hervas,1550.0,Ecuador,2021,,,"Overall Sweet (2), Mango, Soft, Sweet Aromatics","Orange (3), Cherry (2), Cola (2), Floral (2), Almond, Bakers Chocolate, Black Cherry, Black Currant, Brown Spice, Brown Sugar, Chocolate, Citrus Fruit, Dark Chocolate, Dried Dates, Grape, Green Apple, Hazelnut, Honeydew, Lychee, Maple Syrup, Melon, Milk Chocolate, Orange Blossom, Passion Fruit, Peach, Plum, Red Grape, Stone Fruit, Tea-like","Citric Acid (2), Bright, Peach, Pineapple",Washed,Typica Mejorado,,,Ecuador
12,11,88.39,Nuestra Señora De Guadalupe,673.73,$17.60,"$11,857.65","Wataru & Co., Ltd.",Eladio Gonzalo Chamba Herrera,2000.0,Ecuador,2021,,,"Brown Sugar (2), Complex and sweet aromatics, Cream, Graham Cracker, Overall Sweet, Red Currant, Stone Fruit","Red Apple (3), Stone Fruit (3), Peach (2), Apricot, Blackberry, Blueberry, Bright and lively, Brown Sugar, Burnt Sugar, Citrus Fruit, Coconut, Cola, Darjeeling, Dark Chocolate, Dried Fruit, Floral, Green Apple, Honeydew, Juice, Lemon, Molasses, Orange, Orange Blossom, Pineapple, Roasted Hazelnut, Strawberry, Tangerine","Malic Acid (2), Black date, Citric Acid, Citrus, Complex, Lemon, Lemon & Lime, Red Grape, Tangerine",Washed,"Caturra, Buorbon, Typica",,,Ecuador
13,12,88.39,El Mirador,326.83,$25.30,"$8,268.80",Campos Coffee,Manuel Ignacio Sandoval Ulloa,1812.0,Ecuador,2021,,,"Sweet Aromatics (2), Brown Sugar, Complex and refine, Floral, Overall Sweet, Stone Fruit","Black Tea (3), Floral (3), Milk Chocolate (2), Bergamot, Blackberry, Brown Sugar, Citrus Fruit, Complex, Fudge, Ginger flower, Green Apple, Green Grape, Honey, Jasmine Honeysuckle, Lemon, Lemon & Lime, Lime, Mellow, Mulberry, Papaya, Peach, Pineapple, Pomegranate, Red Currant, Strawberry, Sugarcane, Sweet, Tangerine, White Pepper","Citric Acid (2), Crisp (2), Lemon & Lime (2), Bright, Citrus, Cream, Grapefruit, Green Apple, Lemon, Mild, Pineapple, Sweet orange, Tangerine, White Grape",Washed,Typica Mejorado,,,Ecuador
14,13,88.32,El Dorado,293.36,$32.10,"$9,416.86",Campos Coffee,Choco Vilcamumdo Cia. Ltda.,1650.0,Ecuador,2021,,,"Bakers Chocolate, Black Currant, Brown Sugar, Chocolate, Complex and sweet aromatics, Overall Sweet, Pineapple","Floral (3), Red Currant (2), Red Grape (2), Apple, Apricot, Bergamot, Berry, Bittersweet Chocolate, Blackberry, Cacao Nibs, Citrus Fruit, Clove, Coconut, Dark Chocolate, Dried Dates, Eucalyptus, Hibiscus, Lemon & Lime, Mango, Orange, Pineapple, Plum, Raspberry, Red Apple, Stone Fruit, Strawberry, Tea-like, Vanilla","Citric Acid, Complex, Lemon & Lime, Malic Acid, Orange, Raspberry, Tartaric",Washed,Gesha,,,Ecuador
15,14,88.21,Habitat Forest Coffee,223.98,$29.10,"$6,517.82",TAKAMURA COFFEE ROASTERS,Mario Andres Andrade,1700.0,Ecuador,2021,,,"Brown Sugar, Grapefruit, Milk Chocolate, Overall Sweet, Stone Fruit","Black Tea (2), Plum (2), Apple, Apricot, Bittersweet Chocolate, Black Currant, Blueberry, Blueberry, Brown Sugar, Cocoa, Cola, Complex, Cranberries, Eucalyptus, Gooseberry, Grape, Grapefruit, Green Apple, Green Grape, Hibiscus, Mandarin Orange, Mango, Pineapple, Raspberry, Red Apple, Stone Fruit","Citric Acid (2), Grapefruit (2), Blackberry, Bright, Bright acid, Citrus, Crisp, Green Apple, Lemon & Lime, Lime, Raspberry, White Grape",Washed,Bourbon,,,Ecuador
16,15,87.79,Indera,236.67,$27.10,"$6,413.76",Mercanta Ltd,Manuel Alberto Romero Sánchez,1460.0,Ecuador,2021,,,"Delicate, Soft, Sweet-herb, Tropical Fruit","Peach (2), Stone Fruit (2), Bakers Chocolate, Black Cherry, Black Tea, Blueberry, Brown Spice, Brown Sugar, Cola, Complex, Dark Chocolate, Dark plum, Green Tea, Licorice-anise, Lychee, Mandarin Orange, Mango, Melon, Pomelo, Raspberry, Red Currant, Red Grape, Star Fruit, Strawberry, Sweet & Sugary, Vanilla, White Pepper","Citric Acid (3), Citric, Citrus, Lemon, Mandarin Orange, Pineapple, Structure, Tartaric, Tartaric",Natural,Gesha,,,Ecuador
17,16,87.75,Rancho Tio Emilio,254.32,$32.10,"$8,163.67",Café Imports,Jose Emilio Gaibor Coloma,1300.0,Ecuador,2021,,,"Bittersweet Chocolate, Brown Sugar, Increase, Overall Sweet","Green Apple (2), Milk Chocolate (2), Peach (2), Plum (2), Apricot, Bittersweet Chocolate, Blackberry, Brown Sugar, Caramel, Cherry, Cinnamon, Citrus Fruit, Dried Fruit, Fruity, Jasmine, Licorice-anise, Lychee, Molasses, Pear, Pineapple, Red Currant, Strawberry, Sweet spice, Winey","Malic Acid (3), Citric Acid (2), Citrus, Complex, Grape, Lemon, Lemon & Lime, Mandarin Orange, Red Grape, Wild black berry",Honey,Sydra,,,Ecuador
18,17,87.68,Hcda. La Florida,571.09,$25.60,"$14,619.90","THE DRIP CO., LTD.’ ＆ ChoongMooGong ＆ HYANGMISA",Vitalino Demetrio Merino Carrión,1800.0,Ecuador,2021,,,"Black Tea, Delicate, Graham Cracker, Vanilla","Bittersweet Chocolate (2), Black Tea (2), Brown Sugar (2), Stone Fruit (2), Black Cherry, Blackberry, Caramel, Chocolate, Cocoa, Dried Dates, Floral, Grapefruit, Honey, Lemon, Lemonade, Mandarin Orange, Meyer Lemon, Milk Chocolate, Molasses, Orange Blossom, Peach, Pineapple, Roasted Almond, Sweet & Sugary, Sweet Tea, Vanilla","Bright (2), Citric Acid (2), Citrus, Green Apple, Lemon, Lemon & Lime, Mild, Soft, Stone Fruit, Tangerine",Washed,"Caturra, Bourbon, Typica",,,Ecuador
19,18,87.64,El Pino,341.18,$17.60,"$6,004.77",Latorre&Dutch (China) for KOMENCU Coffee(China),José William Abad Román,1700.0,Ecuador,2021,,,"Apricot, Bergamot, Black Tea, Floral and elegant, Overall Sweet","Stone Fruit (3), Red Grape (2), Tangerine (2), Apple, Berry, Black Tea, Brown Sugar, Cherry, Coconut, Cream, Floral, Juice, Lemon, Lemon & Lime, Lemon Zest, Lime, Mandarin Orange, Mango, Melon, Milk Chocolate, Orange, Papaya, Pear, Persimmon, Pineapple, Roasted Almond, Sugarcane, Sweet & Sugary, Tart, Tea tree aromatic, Vanilla","Lemon & Lime (2), Bright, Citric, Citric Acid, Lemon, Malic Acid, Mandarin Orange, Plum, Tartaric",Washed,Typica Mejorado,,,Ecuador
20,19,87.61,El Granjero,336.1,$16.00,"$5,377.60","Wataru & Co., Ltd.",Miguel Enrique Sánchez Cevallos,1800.0,Ecuador,2021,,,"Almond, Black Tea, Cream, Lively and bright and sweet, Short finish","Brown Sugar (3), Caramel (2), Dark Chocolate (2), Jasmine Honeysuckle (2), Roasted Hazelnut (2), Stone Fruit (2), Almond, Bittersweet Chocolate, Black Currant, Black Tea, Cherry, Chocolate, Cinnamon, Citrus Fruit, Cookies, Green Tea, Honeydew, Lime, Milk Chocolate, Passion Fruit, Pear, Raisin, Roasted Almond, Sour Apple, Sweet Bread Pastry, Sweet-herb, Tangerine, Vanilla","Citric Acid (2), Green Apple, Lemon, Malic Acid, Mandarin Orange, Passion Fruit, Plum",Washed,Bourbon & Typica Mejorado,,,Ecuador
21,20,87.57,Santa Gertrudis,349.69,$29.00,"$10,141.01",Wataru for Voila Coffee,José Luis Eguiguren Pozo,1700.0,Ecuador,2021,,,"Blackberry, Sweet & Sugary, Tea-like","Mandarin Orange (2), Red Apple (2), Berry, Black Tea, Brown Sugar, Caramel, Cocoa, Dried Fruit, Floral, Grapefruit, Green Tea, Honeydew, Lime, Lychee, Malt, Mango, Milk Chocolate, Orange Blossom, Pear, Pineapple, Plum, Red fruit, Red Grape, Roasted Hazelnut, Sweet-herb, Tea drying, Vanilla","Citric Acid (3), Bright (2), Green Apple (2), Crisp, Lemon, Malic, Plum, Tart",Honey,Sydra,,,Ecuador
22,21,87.54,Chorora,274.56,$20.00,"$5,491.20","Coffee Montage, 304 roasters, COFFEE PLACE, 502 Coffee Roasters, peer coffee",Olinka Velez Rodriguez,1500.0,Ecuador,2021,,,"Bitter chocolate finish, Brown Sugar, Sweet, Tart","Vanilla (3), Floral (2), Red Apple (2), Almond, Berry, Bittersweet Chocolate, Black Cherry, Black Tea, Brown Sugar, Caramel, Citrus Fruit, Cocoa Powder, Dark Chocolate, Fiji apple, Golden berry, Grapefruit, Lime peel, Lively citric, Lychee, Mango, Milk Chocolate, Pomegranate, Red Currant, Roasted Almond, Stone Fruit, Tangerine","Red Apple (2), Bright, Citric Acid, Citrus, Crisp, Lemon, Lemon & Lime, Malic, Red Grape, Tangerine",Honey,Sydra,,,Ecuador
23,22,87.21,Terrazas del Pisque,326.1,$25.10,"$8,185.11",Mercanta Ltd,Horcaf,2100.0,Ecuador,2021,,,"Granola, Sweet Bread Pastry, Sweet-herb","Milk Chocolate (3), Brown Sugar (2), Cola (2), Apple, Berry, Brown Spice, Caramel, Caramelized apples, Chocolate, Dry plum, Floral, Green Apple, Hazelnut, Honey, Lemon, Lemongrass, Lime, Orange, Lime peel, Red Currant, Red Grape, Roasted Hazelnut, Simple, Stone Fruit, Walnut","Citric Acid (3), Lemon & Lime (2), Malic Acid (2), Citrus, Green Apple, Juicy, Lemon",Honey,Typica Mejorado,,,Ecuador
24,23,87.21,Maputo,272.85,$26.60,"$7,257.81",Café Imports,Henry Arturo Gaibor Coloma,1300.0,Ecuador,2021,,,"Brown Sugar, Honey, Maple Syrup, Overall Sweet, Sweet, Sweet spice and savory","Brown Sugar (3), Stone Fruit (2), Bakers Chocolate, Black Tea, Blueberry, Brown Spice, Cantaloupe, Cherries, Citrus, Citrus Fruit, Cola, Dried Fruit, Jack fruit, Licorice-anise, Lychee, Mango, Melon, Papaya, Passion Fruit, Plum, Red Apple, Red Currant, Red plum, Sweet-herb","Citric Acid (2), Bright, Lemon & Lime, Red Apple, Sharp, Tartaric, Tropical fruit",Honey,Typica Mejorado,,,Ecuador
25,1a,90.28,Hacienda Lugmapata,198.42,$98.20,"$19,484.84",NOZY COFFEE,FAMILIA MERINO,,Ecuador,2022,,,,,,Washed,SIDRA,,,Ecuador
26,2,89.35,La Noria,407.38,$55.10,"$22,446.64","Orsir International Co., Ltd.",MARÍA DEL PILAR BURNEO,,Ecuador,2022,,,,,,Washed Anaerobic,Gesha,,,Ecuador
27,3,89.25,Cruz Loma,486.41,$96.35,"$46,865.60",Osito Coffee,FAMILIA MORALES RIVERA,,Ecuador,2022,,,,,,Washed Anaerobic,SIDRA and TYPICA,,,Ecuador
28,4,89.1,El Dorado,407.61,$95.50,"$38,926.76","NANJING ECO FARM TRADING CO., LTD. / 啟程拓殖 TerraformCoffee / Gee Coffee",IMPOREXPOR AGUA CHOCOVILCAMUNDO,,Ecuador,2022,,,,,,Washed Anaerobic,Gesha,,,Ecuador
29,5,88.7,La Florida,374.98,$29.80,"$11,174.40",Kyokuto Fadie Corporation,VITALIANO DEMETRIO MERINO CARRIÓN,,Ecuador,2022,,,,,,Washed,"CATURRA , BOURBON AND TYPICA",,,Ecuador
30,6,88.35,Yambamine,364.84,$35.20,"$12,842.37",realbean,DIANA VELEZ RODRIGUEZ,,Ecuador,2022,,,,,,Washed Anaerobic,Sidra,,,Ecuador
31,7,88.13,La Papaya Halapa CIA LTDA,283.1,$36.75,"$10,403.93",Grand Cru Coffee (China),JUAN FRANCISCO PEÑA GUILEN,,Ecuador,2022,,,,,,Natural,Typica,,,Ecuador
32,8,87.83,Alaska del Sur,322.95,$30.05,"$9,704.65",印格咖啡 Ingenuity Coffee & Cut Hand Group (剁手咖啡群) & Move River Coffee（陈胜豪） & 周狮虎咖啡 & Kinglo Coffee（轻乐咖）,CURT JOHN MADISON,,Ecuador,2022,,,,,,Washed,Typica,,,Ecuador
33,9,87.78,Hacienda Biogenica Agroecologica Jesus del Gran Poder,268.02,$18.95,"$5,078.98",Carrboro Coffee Roasters,WILMER ENRIQUE GRANDA OCHOA,,Ecuador,2022,,,,,,Washed Anaerobic,GEISHA AND BOURBON,,,Ecuador
34,10,87.73,Café Johann,406.83,$26.30,"$10,699.63",honu加藤珈琲店株式会社,JHONNATAN PATRICIO JUMBO VÉLEZ,,Ecuador,2022,,,,,,Washed Anaerobic,Sidra,,,Ecuador
35,11,87.68,El Mirador La Papaya,295.84,$21.60,"$6,390.14","Coffee Montage, COFFEE PLACE, HYANGMISA, No Doubt, coffeeTemple, 502 Coffee Roasters, DeepBlueLake",MANUEL IGNACIO SANDOVAL ULLOA,,Ecuador,2022,,,,,,Washed,TYPICA,,,Ecuador
36,12,87.53,El Alisal,352.05,$18.40,"$6,477.72",YN coffee,LEONIDAS VICTORIANO JARAMILLO GRANDA,,Ecuador,2022,,,,,,Honey,Typica,,,Ecuador
37,13,87.45,Santa Rita,324.87,$25.50,"$8,284.19",Nanjing Eco Farm,JOSE MILTON AJILA AJILA,,Ecuador,2022,,,,,,Natural,Typica,,,Ecuador
38,14,87.37,Santa Gertrudis,270.49,$28.20,"$7,627.82","Snow Beans Coffee , WAVY COFFEE",JOSÉ LUIS EGUIGUREN,,Ecuador,2022,,,,,,Washed Anaerobic,Sidra,,,Ecuador
39,15,87.29,La Ponderosa,281.33,$29.20,"$8,214.84",SARUTAHIKO COFFEE,JORGE ARTURO AJILA,,Ecuador,2022,,,,,,Natural,Sidra,,,Ecuador
40,16,87.29,Terrazas del Pisque,511.32,$17.50,"$8,948.10",Mercanta The Coffee Hunters,HORCAF,,Ecuador,2022,,,,,,Washed,TYPICA,,,Ecuador
41,17,87.21,La Papaya Halapa CIA LTDA,282.83,$29.00,"$8,202.07","Mercanta The Coffee Hunters , Black & White Coffee Roasters",JAIME CARTUCHE,,Ecuador,2022,,,,,,Natural Anaerobic,TYPICA,,,Ecuador
42,18,87.0,Cafetalera Angelita,433.0,$9.90,"$4,286.70","Wataru & Co., Ltd.",DIEGO GERMÁN SALAS PAUCAR,,Ecuador,2022,,,,,,Natural,"BOURBON , TYPICA AND CATUCAI",,,Ecuador
