Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
10,8,89.43,Palma,1058.22,$19.00,"$20,106.18",GONGGAM,Felix Morales Ixtla,1141,México,2022,,,"Complex, Elegant, Overall Sweet, Tropical Fruit","Black Tea , Jasmine , Cherry , Floral , Honey , Lemongrass , Brown Sugar , Caramel , Citrus , Citrus Fruit , Green Apple , Melon , Milk Chocolate , Passion Fruit , Peach , Bergamot, Black Cherry, Brown Spice, Camomile tea, Cocoa, Cranberry, Guawa, Hint floral, Key lime, Kiwi, Lemontea, Lime, Malty, Marshmallow, Tamarind, Tea like","Citric Acid , Malic Acid , Bright , Citrus, Elegant, Refined",Washed,Gesha,,3.0,México
11,9,89.4,Los Naranjos,661.39,$14.20,"$9,391.74",Terarosa (Haksan Co. Ltd),Rafael Cortés Moreno,1200,México,2022,,,"Clean, lemon, good mouthfeel, sugarcane, juicy, Very well balanced cup","Green Apple , Orange , Cherry , Black Cherry , Citrus Fruit , Floral , Molasses , Bakers Chocolate, Bergamot, Brown Sugar, Cacao Nibs, Caramel, Caramelized, Citrus, Dried Dates, Grapefruit, Green Tea, Honey, IJasmine, Jasmine Honeysuckle, Lychee, Melon, Nutmeg, Orange Blossom, Peach, Peal, Plum, Pomegranate, Toffee, Tropical Fruit, White Grape","Citric Acid , Malic Acid , Juicy , Orange , Bright",Washed,Marsellesa,,6.0,México
12,10,89.0,Finca Trebolillos,529.11,$25.10,"$13,280.66","Boqueron Coffee 火萨, 海南东爵实业有限公司, 低调的国际生豆贸易议价协会",Alejandra Martinez Gama Fernandez,1250,México,2022,,,"Balanced, Caramel, Overall Sweet, Round","Caramel , Red Apple , Floral, Grape , Green Apple , Melon , Brown Spice, Cacao Nibs, Cantaloupe, Fruity, Grapefruit, Green Grape, Herb-like, Lavender, Lemon, Lemongrass, Molasses, Nectarine, Olive, Orange, Orange peel, Passion Fruit, Peanuts, Red Currant, Red tea, Roast tea, Strawberry, Sweet spice, Vanilla","Citric Acid , Malic Acid , Bright, Citrica-malica, Citrus, Compeling acidity, Crisp, Malic sweet acid",Washed,Gesha,,113.0,México
13,11,88.93,Las Delicias,793.66,$14.00,"$11,111.24",Luigi Lavazza S.p.A.,Josefina Lopez Ruiz,1300,México,2022,,,"Perfumed, Clean, very transparent, red fruits juice","Cherry , Orange , Black Cherry , Blueberry , Maple Syrup , Melon , Raspberry , Strawberry , Berry, Black Tea, Blackberry, Brown Sugar, Cantaloupe, Citrus, Grapefruit, Grilled pineapple, Honey, Jasmine Honeysuckle, Lemon, Lemon & Lime, Mango, Papaya, , Plum, Pomegranate, Raisin, Red Grape, Red wine, Sweet tobacco","Citric Acid , Juicy , Acetic Acid, Bright, Fruity, Grape, Lasting, Plum, Raspberry, Refresing",Honey,Pache,,1.5,México
14,12,88.83,Finca el Pomal,727.52,$18.85,"$13,713.75",Sulalat Coffee Trading,Josua Andrade Arenas,1150,México,2022,,,"Coffee, Juicy,Very sweet aftertaste, hints of cardamom","Cherry , Black Cherry , Blueberry , Caramel , Guava , Raspberry , Vanilla , Applesauce, Bakers Chocolate, Banana, Blueberry Yogurt, Brown Spice, Brown Sugar, Bubblegum, Casisu, Citrus Fruit,Concord Grape,, Honeysuckle, Jack fruit, Jasmine, Lemongrass,Orange, Peach, Pineaple, Pineapple, Purple, Raisin, Red wine, Roasted Almond, Rose, Rum","Bright , Tartaric , Citric Acid, Lively, Sparkling",Washed,Cuscatleco,,15.0,México
15,13,88.67,Los Aguacates,921.53,$12.20,"$11,242.67","Wataru & Co., Ltd.",Agustin Lopez Guzman,1686,México,2022,,,"Good structure, Overall Sweet, Floral hints","Grapefruit , Black Tea , Caramel, Green Apple , Honey , Milk Chocolate , Molasses , Papaya , Roasted Hazelnut , Almond, Brown Spice, Brown Sugar, Dried apricot, Floral, Mandarin Orange, Mango, Orange Blossom, Passion Fruit,Roasted banana,Strawberry, Sugar cane cacao nib","Citric Acid , Bright , Malic Acid Guava like acidity, Tangerine",Washed,Bourbon & Caturra,,1.0,México
16,14,88.63,Finca la Lomita,462.97,$15.10,"$6,990.85","Al Cafeci, S.A. de C.V. (Calufe – Hermann Thomas)",Marcelino Barrueta Aviles,2100,México,2022,,,"Sweet, good good balance, transparent, Interesting","Black Tea , Caramel , Mango , Peach , Apricot , Brown Spice , Grape , Grapefruit , Jasmine , Papaya , Pineapple , Apple, Brown butter, Brown Sugar, Candy, Cantaloupe, Citrus, Cranberry, Guava, Honey, Lemongrass, Lime, Maple Syrup, Melon, Molasses, Passion Fruit, Walnut, Watermelon","Citric Acid , Malic Acid , Citrus, Lime, Lively, Sparkling",Washed,Typica & Caturra,,1.6,México
17,15,88.53,Las Barrancas,727.52,$12.40,"$9,021.25",List + Beisler GmbH. Supremo Coffee.,Osiel Cortes Aco,1160,México,2022,,,"Overall Sweet, Roasted Hazelnut, Round, Strawberry, Strong, Vanilla bean","Floral , Black Tea , Caramel , Peach , Apricot, Bergamot, Black Cherry, Brown Spice, Brown Sugar, Butterscotch,Honey, Jasmine, Lemon, Levander, Lime, Mandarin Orange, Mango, Maple Syrup, Orange Blossom, Sweet lemon, Sweet spice, Tamarind, Vanilla","Malic Acid , Bright, Jasmine, Lactic acid, Rounded, Tartaric",Washed,Marsellesa,,1.0,México
18,16,88.43,Dinastía Altamirano,595.25,$13.60,"$8,095.40",M.I.COFFEE CORPORATION,Samuel Altamirano Juárez,1400,México,2022,,,"Transparent, round mouthfeel, sweet, tropical,","Black Tea , Orange , Black Cherry , Caramel , Cherry , Cranberry , Dark Chocolate, Watermelon , Apricot, Bergamot, Blueberry, Dried Fruit, Floral, Grape, Green Apple, Hibiscus, Juicy, Lemon & Lime, Milk Chocolate, Nougat, Palm sugar, Plum, Red Apple, Red Currant, Red tea, Roasted Hazelnut, Savory, Sweet lemon, Tea like","Citric Acid , Malic Acid , Active, Bright, CitrusLemon & Lime, Lush",Honey,Bourbon & Gesha,,12.0,México
19,17,88.2,Finca Cañada Fría,529.11,$12.10,"$6,402.23",Saza Coffee,José Daniel Cóbilt Castro,1450,México,2022,,,"Creamy and Floral, Round mouthdeel, subtle and delicate","Black Tea , Cantaloupe , Green Apple , Orange , Cherry , Floral , Honey , Maple Syrup , Peach , Black Currant, Brown Spice, Candied jam, Caramel, Chocolate, Citrus, Citrus Fruit, Flower, Grape, Hibiscus, Honeysuckle, Lemongrass, Lime, Marmalade, Milk Chocolate, Molasses, Raspberry","Citric Acid , Bright , Citrus, Orange",Washed,"Pacamara, Typica, Caturra, Bourbon",,12.0,México
20,18,88.03,Finca San Rafael,661.39,$12.35,"$8,168.17",Saza Coffee,Francisco Javier Montiel Valencia,1400,México,2022,,,"Very stable, Sweet, juicy, tea aftertaste, keeps getting sweeter, thick body","Dried Fruit , Orange , Peach , Black Tea , Blackberry , Cacao Nibs , Chocolate , Red Apple , Red Grape , Bakers Chocolate, Berry, Black Cherry, Blueberry, Brown Spice, Cantaloupe, Caramel, Casisu, Cocoa, Dark Chocolate, Grape, Green Apple, Green Grape, Green Tea, Guava, Hibiscus, Honey, Jasmine, Lavender","Citric Acid , Malic Acid , Grape",Washed,"Bourbon, Typica, Garnica, Mundo Novo",,1.5,México
21,19,88.03,Finca Don Rafa,1124.36,$20.20,"$22,712.07",Saza Coffee,Byeong Soo Kim,1600,México,2022,,,"Clean, so sweet, good balance, round mouthfeel, Transparent","Lemon , Green Apple , Jasmine , Lemongrass , Pineapple , Almond, Asian pear, Bakers Chocolate, Bergamot, Blueberry, Cherry, Cranberry, Dark Chocolate, Fir, Fruity, Graham Cracker, Honeydew, Maple Syrup, Muscat, Nougat, Olive, Orange, Papaya, Plum, Red Apple, Red Currant, Rose Hips, Tangerine, Vanilla, Yellow fruit","Citric Acid , Bright , Malic Acid , Berry, Cherry, Citrus, Grape, Green Apple",Natural,Pache,,40.0,México
22,20,87.87,Ocoteno,661.39,$12.10,"$8,002.82",TAKAMURA COFFEE ROASTERS by MARUKAI,Miguel Ronquillo Aco,1100,México,2022,,,"Peach, Sweet & Sugary","Grapefruit , Honey , Peach , Tropical Fruit , Almond, Black Cherry, Blackberry, Brown Sugar, Cacao Nibs, Cantaloupe, Caramel, Cashewnut, Casisu, Mango, Melon, Milk Chocolate, Molasses, Peanuts, Pineapple, Sweet grape, Sweet orange, Sweet spice","Citric Acid , Malic Acid , Bright , Apple, Grapefruit, Green Apple, Lively, Orange",Washed,Marsellesa,,1.0,México
23,21,87.87,Arroyo,725.32,$12.10,"$8,776.37","GLITCH COFFEE & ROASTERS, Idle Hands Roasting Company, WAVY COFFEE ROASTERS, Q.O.L.COFFEE and Acid Coffee Tokyo by MARUKAI",Carolina De Lourdes Torres Cortes,1500,México,2022,,,"Intense acidity, ligering aftertasrte, juicy and clean","Cacao Nibs , Lemon , Hazelnut , Raspberry , Soy Sauce , Tropical Fruit , Blueberry, Brown Sugar, Cacao, Cacao nib, Cocoa Powder, Complex, Cranberry, Dark Chocolate, Dried Fruit, Honey, Lemon & Lime, Milk Chocolate, Papaya, Peach, Peanut butter, Peanuts, Pineapple, Pink guava, Prune, Red cherry, Red wine, Rose","Blueberry, Citric Acid, Citrus, Juicy, Lactica, Malic Acid, Punchy",Natural,Typica,,20.0,México
24,22,87.8,San Pedro,595.25,$13.40,"$7,976.35",Kyokuto Fadie Corporation,Mauricio Trejo Sosa,1280,México,2022,,,"Very nice acidity, long aftertaste, even sweeter when cooled, lots of berries, complex","Caramel , Orange , Blueberry , Brown Sugar , Lemon , Lime , Black Currant, Black Tea, Caramelized, Cocoa, Dried Fruit, Dry fruits, Floral, Honey, Mandarin Orange, Milk Chocolate, Peach,Pear, Pineapple, Raisin, Red AppleRed tea, Salted caramel, Strawberry, Suger cane, Toffee","Citric Acid , Malic Acid , Bright, Citrus,Pleasant malic acidity, Refined",Washed,Marsellesa,,3.0,México
25,23,87.77,Finca Huehuetecpan,661.39,$12.00,"$7,936.68","Wataru & Co., Ltd.",Santos Montiel Ochoa,1400,México,2022,,,"Clean Cup, Round Body, Well Balanced, Bright Acidity","Orange , Chocolate , Brown Sugar , Caramel , Floral, Stone Fruit , Tropical Fruit , Apple, Apricot, Bakers Chocolate, Blueberry, Brown Spice, Molasses, Nectarine, Passion Fruit, aisin, Red Apple, Tamarind, Tangerine, Vanilla","Malic Acid , Citric Acid , Bright",Washed,"Bourbon, Mundo Novo, Typica, Garnica",,1.0,México
26,24,87.67,Temimil,529.11,$12.10,"$6,402.23",Wataru for Voila Coffee,Belinda Aco Bonilla,1300,México,2022,,,"Caramel, Cherry, Overall Sweet, Delicate and vibrant","Peach , Bakers Chocolate , Caramel , Lemon , Almond, Apple, Blueberry, Brown Spice, Brown Sugar, Citrus, Dried Fruit, Floral, Grapefruit, Green Apple, Green Grape, Hibiscus, Honeydew,Mandarin Orange, Plum, Red wine, Stone Fruit, Strawberry, Sugar cane","Citric Acid , Malic Acid , Orange , Citrus, Lively",Washed,Marsellesa,,3.0,México
27,25,87.67,Apipias,925.94,$11.10,"$10,277.93","DABOV Specialty Coffee, Coffee Me Up (Korea), 331Roasters, Lotus Lab, Coffee Therapy (Thailand)",Mario Alberto Aco Gomez,1200,México,2022,,,"Round, good good balance, long taste, green apple, Sweet and Creamy Chocolate","Cherry , Chocolate , Maple Syrup , Orange , Watermelon , Apple, Apricot, Bakers Chocolate, Bittersweet Chocolate, Black Tea, Blackberry, Blueberry, Brown Spice, Cacao Nibs, Caramel, Casisi, Cocoa, Current like, Dark Chocolate, Fruity, Grape, Hazelnut, Honey, Jasmine, Nutmeg, Papaya, Peach, Pineapple, Plum juice, Pomegranate, Walnut","Citric Acid , Malic Acid , Cítrica, Citrus, Citrus Fruit, Grape, Green Apple, Lively, Sharp, Sparkling",Washed,Marsellesa,,2.0,México
28,26,87.57,Ojo de Agua,727.52,$12.15,"$8,839.37",19grams / Tres Cabezas,Sandra Elizabeth Romero Andablo,1130,México,2022,,,"Round, smooth and clean,good balance, juicy,","Caramel , Orange , White Grape , Apple, Black Cherry, Brown Spice, Brown Sugar, Butter, Casisu, Chocolate, Cinnamon, Citrus, Cocoa, Coconut, Cream, Golden Raisin, Hibiscus, Honey, Lemongrass, Maple Syrup, Melon, Milk Chocolate, Molasses, Pear, Plum, Pomelo, Red Apple, Roasted Hazelnut, Strach syrup, Strawberry","Citric Acid , Malic Acid , Bright, Crisp Lively",Washed,Marsellesa,,1.0,México
29,27,87.4,Fincas Innominada,727.52,$12.10,"$8,802.99",Kyokuto Fadie Corporation,Hector Hernandez Mendez,1250,México,2022,,,"Thick body, goodgood balance, round, milk chocolate, brown sugar, grape","Black Tea , Cacao Nibs , Caramel , Cherry , Dried Dates , Grape , Jasmine , Peach , Plum , Raspberry , Tropical Fruit , Vanilla , Blueberry, Brown Spice, Cantaloupe, Chocolate, Dried Fruit, Golden Raisin, Guava, Herb-like, Lemon & Lime, Lime, Lychee, Malic Acid, Marshmallow, Melon, Prune, Sugar cane juicy","Citric Acid , Malic Acid , Grape, Juicy, Soft, Tartaric",Washed,Bourbon & Costa Rica 95,,6.0,México
30,28,87.3,Metlapoxteca,529.11,$10.30,"$5,449.83",Honu Kato Coffee Inc.,Teresita Flores Acolt,1150,México,2022,,,"caramel and juicy, Dried fruits","Caramel , Lime , Black Tea , Brown Spice , Brown Sugar , Grape , Orange , Vanilla , Black Cherry, Blood orange, Cantaloupe, Cashewnut, Chocolate, Cinnamon, Citrus, Clove, Coco, Floral, Graham Cracker, Grapefruit, Honey, Jucy, Lemon, Mandarin Orange, Mango, Molasses, Orange Blossom, Red Currant","Citric Acid , Malic Acid , Bright, Grape, Green Apple",Washed,"Typica, Bourbon, Caturra, Colombia",,2.0,México
31,29,87.23,Finca el Bordo,793.66,$10.00,"$7,936.60","Wataru & Co., Ltd.",Nieves Isabel Montiel Valencia,1380,México,2022,,,"Pleasant acidity, Elegant, Structred Attributes","Chocolate , Black Tea , Brown Spice , Caramel , Green Apple , Jasmine , Melon , Almond, Black Cherry, Butter, Cacao Nibs, Cherry, Cocoa, Dried Dates, Golden Raisin, Grapefruit, Maple Syrup, Milk Chocolate, Raspberry, Rose","Citric Acid , Malic Acid, Pleasant",Washed,"Bourbon, Caturra, Mundo Novo, Typica, Garnica",,1.0,México
32,30,87.2,La Vega,462.97,$10.20,"$4,722.29",Orsir Coffee,Marino Edgar Olarte Maldonado,1100,México,2022,,,"Clean, nice acidity, balanced, structured, Sweet and Clean","Red Apple , Almond , Green Apple , Apple, Apricot, Brown Spice, Butter, Cacao Nibs, Caramel, Caramelized, Cocoa Powder, Dark Chocolate, Mango, Orange, Peach, Peanuts, Pear, Pineapple, Sartch syrup,Toffee","Citric Acid , Malic Acid , Bright , Mandarin Orange",Washed,Catuai & Costa Rica 95,,2.0,México
33,1a,91.0,FINCA LAS NIEVES,264.5544,US$ 61.00,"US$ 16,137.55","Proud Mary – Australia
L’escargot d’or cosmetocafe FRANCE",GUSTAVO BOLTJES RISING,"1,500",México,2023,,,"Declined, Elegant, Interesting, Jasmine, Mild floral, Wonderful coffee","Jasmine, Floral, Honey, Mandarin Orange, Peach, Tropical Fruit, Caramel, Chamomile, Chocolate,  Minty, Apple juice.","Citric Acid, Citrus Fruit,  Malic Acid, Bergamot, Bitter citrus, Coffee Blossom, Fresh, Lactic acid, Mild, Refined, Tartaric",Natural,Geisha,,180.0,México
34,1b,91.0,FINCA LAS NIEVES,315.26066,US$ 53.30,"US$ 13,278.10","SAVAYA COFFEE LLC, Difference Coffee, Coffee Me Up (Korea)",GUSTAVO BOLTJES RISING,"1,500",México,2023,,,"Declined, Elegant, Interesting, Jasmine, Mild floral, Wonderful coffee","Jasmine, Floral, Honey, Mandarin Orange, Peach, Tropical Fruit, Caramel, Chamomile, Chocolate,  Minty, Apple juice.","Citric Acid, Citrus Fruit,  Malic Acid, Bergamot, Bitter citrus, Coffee Blossom, Fresh, Lactic acid, Mild, Refined, Tartaric",Natural,Geisha,,180.0,México
35,2a,90.69,FINCA SANTA CRUZ,595.2474,US$ 43.30,"US$ 22,910.46","KALDI COFFEE FARM (CAMEL COFFEE CO.,LTD.) – Japan",KARINA ARGUELLO ENRIQUEZ,"1,700",México,2023,,,"Mild, Clean, Complex, Elegance, Floral, Super nice geisha flavor","Floral, Stone Fruit, Apricot, Mango, Peach, Brown Sugar, Jasmine, Lime, Orange, Orange Blossom, Red Currant, Tropical Fruit, Vanilla, Almíbar,","Citric Acid, Malic Acid, Bright, Citrus Fruit, Green Apple, Lemon, Mild",Honey,Geisha,,280.0,México
36,2b,90.69,FINCA SANTA CRUZ,524.69956,US$ 43.90,"US$ 23,034.33","ACCIO BEANS COFFEE
西双版纳里头咖啡有限公司（Little.）
咖星人 E·T COFFEE",KARINA ARGUELLO ENRIQUEZ,"1,700",México,2023,,,"Mild, Clean, Complex, Elegance, Floral, Super nice geisha flavor","Floral, Stone Fruit, Apricot, Mango, Peach, Brown Sugar, Jasmine, Lime, Orange, Orange Blossom, Red Currant, Tropical Fruit, Vanilla, Almíbar,","Citric Acid, Malic Acid, Bright, Citrus Fruit, Green Apple, Lemon, Mild",Honey,Geisha,,280.0,México
37,3a,90.25,FINCA POCITOS,132.2772,US$ 51.00,"US$ 6,746.28",Nanjing Eco Farm China for TarTar Coffee / TWO HANDS FULL,JESUS CARLOS CADENA VALDIVIA,"1,400",México,2923,,,"Complex, Alcohol,  Floral, Full mouthfeel","Floral, Brown Sugar, Mango, Peach, Stone Fruit, Black Tea, Dried Fruit, Green Tea, Guava, Jasmine, Mandarin Orange, Orange, Papaya, Pineapple, Tropical Fruit","Bright, Citric Acid, Malic Acid, Citrus Fruit, Fresh, Grapefruit, Mandarin Orange, Nectarine, Orange Blossom",Natural,"Pacamara, Geisha",,19.0,México
38,3b,90.25,FINCA POCITOS,132.2772,US$ 53.50,"US$ 7,076.98","ACCIO BEANS COFFEE
CHG (剁手咖啡群) & Encore Coffee （云南谙客咖啡）",JESUS CARLOS CADENA VALDIVIA,"1,400",México,2923,,,"Complex, Alcohol,  Floral, Full mouthfeel","Floral, Brown Sugar, Mango, Peach, Stone Fruit, Black Tea, Dried Fruit, Green Tea, Guava, Jasmine, Mandarin Orange, Orange, Papaya, Pineapple, Tropical Fruit","Bright, Citric Acid, Malic Acid, Citrus Fruit, Fresh, Grapefruit, Mandarin Orange, Nectarine, Orange Blossom",Natural,"Pacamara, Geisha",,19.0,México
39,4,89.91,LOS AGUACATES,"1,256.63",US$ 18.00,"US$ 22,619.34","SAVAYA COFFEE LLC – USA

L’escargot d’or cosmetocafe FRANCE",AGUSTIN LOPEZ GUZMAN,"1,667",México,2023,,,"Bright and sweet, Citrus Fruit, Very sweet cup","Floral, Honey, Stone Fruit, Apple, Black Tea, Brown Sugar, Caramel, Jasmine, Mandarin Orange, Molasses, Pineapple, Tropical Fruit, Almíbar","Citric Acid, Malic Acid, Bright, Citrus, Citrus Fruit, Lime, Orange peel, Soft, Sutil",Washed,"Caturra, Garnica, Bourbon",,1.0,México
