Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
17,15,88.29,Teklye Bogale Weldemariam,2248.71,$17.70 ,"$39,802.17 ",Sulalat Coffee Trading,Teklye Bogale Weldemariam,,Ethiopia,2020,Nansebo,West Arsi,"Molasses, clove, nutty buttery body, creamy,","Brown sugar, dried fruit, carob, cherry, pineapple, apricot, fruit, pulpy, rose, guava, peach molasses, lemon grass, sweet","Medium acidity bright, citric,",Natural,Typica,5,7,Ethiopia
18,16,88.18,Abdulkaf Teyib Kedir,2447.13,$14.20 ,"$34,749.25 ",Parisi Artisan Coffee / Paris Brothers,Abdulkaf Teyib Kedir,,Ethiopia,2020,Nansebo,West Arsi,"Delicate, molasses, bing cherry, honeydew buttery body, thick, dense","Sweet red pepper, apricot, raspberry, cacao, cinnamon, butter-scotch, floral, vanilla, red fruit, grapes, raisin, cocoa silk mouthfeel, barley, silky, smooth, bright","Clear, transparent, malic, citric, delicate, orange, red apple",Natural,Typica,3,6,Ethiopia
19,17,87.86,Bekele Ado Tero,2215.64,$17.50 ,"$38,773.70 ","Kyokuto Fadie Corporation & ARAB COFFEE CO., LTD",Bekele Ado Tero,,Ethiopia,2020,Gedeb,Gedio,"Jammy, juicy, brown sugar","Cream, pineapple, amber honey, citric, orange, juicy, lemon, red fruit, sugar cane citrus fruit, strawberry well balanced attributes","Citric, orange, juicy",Natural,74110,3.31,3.31,Ethiopia
20,18,87.82,Tagel Alemayehu Aferu,462.97,$27.40 ,"$12,685.38 ",Sucafina Specialty for Colture,Tagel Alemayehu Aferu,,Ethiopia,2020,Kelcha,West Guji,"Raspberry jam, melon, dark chocolate more natural in character","Brownie, clove, carob, vanilla, plum, red wine, cinnamon, blueberry, strawberry mango, blueberry full bodied, intense, dry fruits, brandy","Bright, citric, acetic",Natural,Typica,,,Ethiopia
21,19,87.79,Gemeda Elias Dube,2281.78,$12.60 ,"$28,750.43 ",Mercanta The Coffee Hunters UK and Singapore with Carvetii (England) Colonna (England) Dark Woods (England) Dear Green (Scotland) Emirati (Dubai) Has Bean (England) Micro Roastery (England) Origin (South Africa) Origo (Romania) Silver Oak Coffee (England),Gemeda Elias Dube,,Ethiopia,2020,Shakiso,West Guji,"Dark chocolate, sweet, raspberry cordial, complex, long sweet finish","Tootsie roll, bakers chocolate, spice, apricot, tropical, black currant, plum, sugar cane, orange, chocolate, berry, green mango, orange, chocolate, prune, solid, well balanced, refined, caramel","Clear, medium phosphoric, malic, tartaric, intense",Natural,Kurme,,,Ethiopia
22,20,87.71,Chal COOP Naannoo,694.46,$19.40 ,"$13,472.52 ",Sc Origo Roastery Srl,Chal COOP Naannoo,,Ethiopia,2020,Gera,Jimma,"Spice, ginger, hazelnut thick body, olive, buttery. fruit on finish","Clove, chocolate, nougat, butter, apricot, butterscotch, berries, vanilla, hazelnut cranberry blueberry, raspberry strawberry cheesecake, blueberry, raspberry soft, fruity, long, citric tartaric acidity,","Lactic acid, malic",Natural,74110,15 Hectare,15 Hectare,Ethiopia
23,21,87.64,Boledu Industrial PLC,2116.44,$21.40 ,"$45,291.82 ",Sulalat Coffee Trading,Boledu Industrial PLC,,Ethiopia,2020,Gedeb,Gedio,"Grape, berry, intense, vicious body unique, lot of flavors, alcoholic,","Cola, cherry, pomegranate, strawberry, cinnamon, pineapple, strong cinnamon sour??process fruity, dry fruits, chocolate, mango, cocoa nibs","Complex tartaric, sour plum.",,,,,Ethiopia
24,22,87.64,Adem Baneta Sute,2447.13,$13.60 ,"$33,280.97 ",Fisher Coffee / M2M Coffee Roasters / KITCHAROEN N / Fisheye Cafe / June’s Garden Coffee / Small Arms Big Heart / QianJie Coffee / OAS Roaster / Latorre & Dutch Coffee (China),Adem Banta Sute,,Ethiopia,2020,Nansebo,West Arsi,"Sugar, ginger, brown sugar","Sweet raisin, toasted almond, raspberry, wine, red wine, ripe, cola, chocolate, vanilla, raisin molasses, milk chocolate pomegranate, sugar cane, milk chocolate, rose fruits, honey, red fruits jam, grapes, tamara dry fruit, gripes","Citric, malic, green apple",Natural,Typica,2,2,Ethiopia
25,23,87.64,Fisa Dike Bare,2149.5,$12.30 ,"$26,438.85 ","Wataru & Co., Ltd.",Fisa Dike Bare,,Ethiopia,2020,Nansebo,West Arsi,"Raisin, tangy, sweet, strawberry, long-lasting","Chocolate chips, carob, clove, sugary, green apple, fruity, coriander, floral veggie, choco floral, toasty, berry fruit bright, shinny, wide, very alive in the mouth,","Rounded acidity, malic, citric, juicy",Natural,Typica,4,5,Ethiopia
26,24,87.43,Gemeda Elias Dube,2215.64,$12.40 ,"$27,473.94 ",Sarutahiko Coffee Inc.,Gemeda Elias Dube,,Ethiopia,2020,Arba Muda,West Guji,"Juicy, really clean, sweet balanced, round,","Dry cocoa, ginger, tart cherry, solid, citric, green tea, plum, dark fruits coriander, sugar cane, strawberry, chocolate, mandarin orange papaya, aniseed, rounded, long finishing","Mild acidity citric, orange",Natural,Kurme,54,54,Ethiopia
27,25,87.36,Kassahun Jebo Kurso,826.73,$20.30 ,"$16,782.62 ",THE COFFEE LAB,Kassahun Jebo Kurso,,Ethiopia,2020,Yirgacheffe,Gedio,"Clean and sweet, black cherry","Nougat, cola, pear, tangy, cocoa, almond, green tea, apricot, cinnamon brown spice, blueberry, raspberry, orange dry, toffee, passion fruit","Rounded acidity tartaric,",Natural,Kurme,3.23,3.23,Ethiopia
28,26,87.21,Omar Ali Shiferaw (Tracon trading plc),529.11,$25.00 ,"$13,227.75 ",BLESSBEAN CO. LTD & 1KG COFFEE,Omar Ali Shifaw(Tracon trading plc),,Ethiopia,2020,Yirgacheffe,Gedio,"Spiced, dry, honey creamy body, bright, lively, pleasantly tart finish","Candied pecan, lime, lemon rind, almonds, chocolate, sugary, lemon, sugar flakes, caramel, citrus fruit, black tea milk chocolate with apricot","Intense, citric phosphoric, malic, red apple,",Washed,Heirloom Typica,,,Ethiopia
29,27,87.07,Seli Gelgelu Bare,959.01,$18.10 ,"$17,358.08 ",Sulalat Coffee Trading,Seli Gelgelu Bare,,Ethiopia,2020,Gedeb,Gedio,"Long finish, plum, blueberry, mandarin orange","Chocolate, peach, maple syrup, balanced, citric, molasses, malt, cola, orange, cherry, berries, plum, blueberry, mandarin orange tangerine, honey, citric, clean, improving hot to cold","Pleasant balanced, bright, citric",Natural,74110,9.68,9.68,Ethiopia
30,28,87.04,Kassim Kero Bati,2314.85,$11.30 ,"$26,157.81 ","Wataru & Co., Ltd.",Kassim Kero Bati,,Ethiopia,2020,Nansebo,West Arsi,"Black tea, round body transparent, clean, long-lasting","Sweet raisin, sweet cream, bergamot clove, buttery, vanilla, some fruit, hazelnut, caramel citrus fruit, molasses, honey, molasses, brown sugar, long final, chocolate, juice","Sparkling acidity citric, juicy, syrupy",Natural,Typica,6,7.2,Ethiopia
31,1a,90.6,Tamiru Tadesse Tesema,1256.63,$150.00 ,"$188,494.50 ","Saza Coffee, Sarutahiko Coffee Inc., Difference Coffee, Pebble Coffee, Kakalove, Simple Kaffa, Urban Coffee Roaster, Coffee-Tech.co.nz / BC Co., BC Co. NZ, 明谦咖啡 MQ coffee, MANNER COFFEE (China), Cheer Beans Trading Co.",Tamiru Tadesse Tesema,,Ethiopia,2021,,,"Complex, Grape, Peach, Perfumed, Stable, Structured","Floral (4), Pineapple (3), Candy (2), Green Apple (2), Lychee (2), Milk Chocolate (2), Passion Fruit (2), Peach (2), Raspberry (2), Apricot, Black Currant, Brown Spice, Caramel, Citrus, Cola, Cranberry, Exotic, Gin, Grape, Jasmine, Kiwi, Lemon, Lemon & Lime, Mandarin Orange, Orange Blossom, Raisin, Rose, Sparkling, Strawberry, Tropical Fruit, Vanilla, White Grape","Complex (2), Sparkling (2), Bright, Citric Acid, Strawberry, Tartaric acid, Transparent, Vibrant, Yogurt",Anaerobic,74165,,,Ethiopia
32,1b,90.6,Tamiru Tadesse Tesema,1256.63,$140.20 ,"$176,179.50 ","PICK COFFEE(Taiwan), TUMAZ黑熊咖啡（Taiwan), L’escargot d’or cosmetocafe (FR), Orsir Coffee (Taiwan), Tinker Coffee / OUT OF LINE (Saudi Arabia)",Tamiru Tadesse Tesema,,Ethiopia,2021,,,"Complex, Grape, Peach, Perfumed, Stable, Structured","Floral (4), Pineapple (3), Candy (2), Green Apple (2), Lychee (2), Milk Chocolate (2), Passion Fruit (2), Peach (2), Raspberry (2), Apricot, Black Currant, Brown Spice, Caramel, Citrus, Cola, Cranberry, Exotic, Gin, Grape, Jasmine, Kiwi, Lemon, Lemon & Lime, Mandarin Orange, Orange Blossom, Raisin, Rose, Sparkling, Strawberry, Tropical Fruit, Vanilla, White Grape","Complex (2), Sparkling (2), Bright, Citric Acid, Strawberry, Tartaric acid, Transparent, Vibrant, Yogurt",Anaerobic,74165,,,Ethiopia
33,2a,90.5,Dawencho G/H/D Bunna Amrach,1322.77,$53.70 ,"$71,032.75 ","Orsir Coffee Co., Ltd.",Dawencho G/H/D Bunna Amrach,,Ethiopia,2021,,,"Lemon, Orange Blossom, Peach yogurt","Apricot (3), Bergamot (2), Brown Sugar (2), Caramel (2), Orange (2), Peach (2), Apple, Black Currant, Blackberry, Cane sugar, Caramelized, Cherry, Citrus, Dried Dates, Grape, Grapefruit, Green Apple, Green Grape, Honey, Lemon & Lime, Lemon tea, Mandarin Orange, Orange Blossom, Passion Fruit, Pineapple, Plum, Raspberry, Red Currant, Rose, Salted lemon, Strawberry, Yellow apricot, Yellow peach","Bright (2), Citric Acid, Complex, Green Grape, Lactic, Lemon & Lime, Malic Acid, Salted lemon, Tartaric acid",Natural,74110,,,Ethiopia
34,2b,90.5,Dawencho G/H/D Bunna Amrach,1322.77,$53.60 ,"$70,900.47 ","Global Bean Holding, UK",Dawencho G/H/D Bunna Amrach,,Ethiopia,2021,,,"Lemon, Orange Blossom, Peach yogurt","Apricot (3), Bergamot (2), Brown Sugar (2), Caramel (2), Orange (2), Peach (2), Apple, Black Currant, Blackberry, Cane sugar, Caramelized, Cherry, Citrus, Dried Dates, Grape, Grapefruit, Green Apple, Green Grape, Honey, Lemon & Lime, Lemon tea, Mandarin Orange, Orange Blossom, Passion Fruit, Pineapple, Plum, Raspberry, Red Currant, Rose, Salted lemon, Strawberry, Yellow apricot, Yellow peach","Bright (2), Citric Acid, Complex, Green Grape, Lactic, Lemon & Lime, Malic Acid, Salted lemon, Tartaric acid",Natural,74110,,,Ethiopia
35,3a,90.37,Tade GG Highland Forest Coffee Producer PLC,429.9,$94.00 ,"$40,410.60 ",SUPREMO COFFEE & Proud Mary Coffee,Tade GG Highland Forest Coffee Producer PLC,,Ethiopia,2021,,,"Body/Fullness, Tropical Fruit","Cacao Nibs (2), Grape (2), Mango (2), Peach (2), Pineapple (2), Plum (2), Apricot, Bergamot, Berry, Black Tea, Brown Sugar, Burnt Sugar, Candy, Chocolate, Cinnamon, Cranberry, Dark Chocolate, Fruity, Grapefruit, Green Grape, Guava, Jam, Lemon & Lime, Liquor chocolate, Mandarin Orange, Maple Syrup, Orange, Pineapple beer, Raisin, Raspberry, Rum, Star anise, Strawberry","Black Cherry, Black Currant, Bright, Complex, Tartaric acid",Natural,Typica,,,Ethiopia
36,3b,90.37,Tade GG Highland Forest Coffee Producer PLC,396.83,$95.10 ,"$37,738.53 ",Sulalat Coffee Trading,Tade GG Highland Forest Coffee Producer PLC,,Ethiopia,2021,,,"Body/Fullness, Tropical Fruit","Cacao Nibs (2), Grape (2), Mango (2), Peach (2), Pineapple (2), Plum (2), Apricot, Bergamot, Berry, Black Tea, Brown Sugar, Burnt Sugar, Candy, Chocolate, Cinnamon, Cranberry, Dark Chocolate, Fruity, Grapefruit, Green Grape, Guava, Jam, Lemon & Lime, Liquor chocolate, Mandarin Orange, Maple Syrup, Orange, Pineapple beer, Raisin, Raspberry, Rum, Star anise, Strawberry","Black Cherry, Black Currant, Bright, Complex, Tartaric acid",Natural,Typica,,,Ethiopia
37,4,90.2,Nare Ware Chimba,2645.54,$25.50 ,"$67,461.27 ","Global Bean Holding, UK",Nare Ware Chimba,,Ethiopia,2021,,,"Black Tea, Grape, Guava, Peach","Bergamot (3), Peach (3), Black Cherry (2), Brown Sugar (2), Floral (2), Apple, Apricot, Black Tea, Caramelized, Cola, Dried Fruit, Green Tea, Honey, Jasmine, Lemon, Lemon & Lime, Lemon tea, Lychee, Malt, Mandarin Orange, Mango, Milk Chocolate, Orange, Orange candy, Papaya, Pineapple, Plum, Red Apple, Red Currant, Red Grape, Stone Fruit","Malic Acid (3), Bright, Citric Acid, Citrus, Guava, Lactic, Stone Fruit, White Grape",Natural,74112,,,Ethiopia
38,5,90.1,Tamiru Tadesse Tesema,2546.34,$26.40 ,"$67,223.38 ","Sarutahiko Coffee Inc., Saza Coffee, Songdo Coffee, 明谦咖啡 MQ coffee, Coffee-Tech.co.nz / BC Co. NZ",Tamiru Tadesse Tesema,,Ethiopia,2021,,,"Delicate (2), Floral (2), Bright, Clean, Started with cookie and lemon peel clears up while temp cools, Stone Fruit","Floral (3), Mandarin Orange (3), Apricot (2), Lemon & Lime (2), Vanilla (2), Brown Sugar, Butterscotch, Caramel, Cashew, Citrus, Cranberry, Honey, Jammy, Jasmine Honeysuckle, Juicy, Lemon, Lime, Malic Acid, Nectarine, Orange, Orange candy, Passion Fruit, Peach, Pear, Rose, Strawberry jam, Yellow peach","Citric Acid (2), Malic Acid (2), Complex citric and stone fruit acidity, Sparkling, Stone Fruit, Tangerine, Tartaric acid",Natural,74158,,,Ethiopia
39,6,89.6,Mulugeta Muntasha Bale,2645.54,$20.60 ,"$54,498.12 ",Kyokuto Fadie Corporation,Mulugeta Muntasha Bale,,Ethiopia,2021,,,"Body/Fullness, Floral, Fruity, Jasmine, Tropical Fruit","Floral (3), Bergamot (2), Cranberry (2), Jasmine (2), Malt (2), Milk Chocolate (2), Peach (2), Raspberry (2), Apricot, Blood orange, Blueberry, Brown Sugar, Candy, Caramel, Dried Fruit, Grapefruit, Lemon, Lemon & Lime, Lychee, Mango, Muscat, Melon, Orange, Orange candy, Pear, Plum, Raisin, Raisin, Red Currant, Roasted Almond, Strawberry, Yellow apricot","Citric Acid (3), Bright (2), Malic Acid (2), Complex, Cranberry, Mango, Slightly tart, Tartaric",Natural,74112,,,Ethiopia
40,7,88.76,Sintayehu Mesele Yirgu,2645.54,$19.60 ,"$51,852.58 ","Latorre&Ducth Coffee(China) for Fisher Coffee / Q Cafe / 誠品咖啡 / Cut Hand Group（剁手咖啡群）/ up&down coffee / KOMENCU Coffee Roasters(China) / Nopparoot Kitcharoen / il gatto coffee / PAGA COFFEE CO., LTD / Santipanich Co., Ltd. / Terroir Laboratory ( Melbourne) / KOLAKOLA COFFEE / 轻乐咖 Kinglo Coffee / 沈阳良致商贸有限公司 / 佩索阿咖啡馆",Sintayehu Mesele Yirgu,,Ethiopia,2021,,,"Brown Spice, Brown Sugar, Floral, Lemon, Perfume, Pineapple","Brown Sugar (2), Caramel (2), Orange (2), Apple, Apricot, Berry, Brown Spice, Cola, Dried Fig, Floral, Hint of jasmine, Honeydew, Jasmine, Lemon & Lime, Lychee, Mandarin Orange, Maple Syrup, Plum, Raspberry, Star Fruit, Strawberry, Yellow apricot, peach, clove","Bright (3), Citric Acid (2), Malic Acid, Red Apple, Tartaric Acid",Natural,74112,,,Ethiopia
41,8,88.57,Assefa Dukamo Kerma,2017.23,$31.20 ,"$62,937.58 ","The Coffee Quest Europe for: Nordbeans (CZ), Fascino Coffee (NL), Greenway Coffee (US), Coffee Bros. (US), Origo Roastery (RO), L’escargot d’or cosmetocafe (FR), Vulcan Coffee (QA), Cobeans (KR, Martys coffee (KR), JBY coffee (KR), Coffee-Tech.co.nz / BC Co., 100FFEE Cafe (CN), Manner Coffee (CN), Bloom Coffe College, Gee Coffee (CN), 印格咖啡IngeCoffee (CN), 楚焙 chubei (CN)",Assefa Dukamo Kerma,,Ethiopia,2021,,,"Apple, Balance, Floral, Lemon & Lime","Black Cherry (2), Brown Sugar (2), Caramel (2), Floral (2), Lemon (2), Peach (2), Apricot, Bergamot, Biscuity, Blood orange, Cacao Nibs, Candy, Cane sugar, Citrus, Cola, Green Tea, Honey, Jasmine, Lavender, Malt, Nut shell, Pineapple, Plum, Raspberry, Roasted Hazelnut, Salted lemon, Stone Fruit, Strawberry","Citric Acid (2), Apple, Bright, Complex, Grapefruit, Malic Acid",Washed,74158,,,Ethiopia
42,9,88.47,Rumudamo Ye Eshet Bunna Mefelfeya PLC,2645.54,$19.30 ,"$51,058.92 ",Rambach Specialty Coffee & Ceremorning by Random,Rumudamo Ye Eshet Bunna Mefelfeya PLC,,Ethiopia,2021,,,"Floral (2), Brown Sugar, Candy, Crispy, Lemon, Tropical Fruit, chocolate fragrance, well balanced, short but clean aftertaste","Floral (4), Apricot (3), Bergamot (3), Honey (2), Almond, Apple, Banana, Berry jam, Black Currant, Brown Sugar, Caramelized, Complex, Dried Dates, Grape, Lemon tea, Lime, Lychee, Maple Syrup, Milk Chocolate, Molasses, Mouth Drying, Parchment, Passion Fruit, Pineapple, Raspberry, Syrupy","Citric Acid, Citrus, Crisp, Juicy, Malic Acid, Mandarin Orange, Sharp",Natural,74112,,,Ethiopia
43,10,88.4,Tatek Alemayehu,529.11,$88.30 ,"$46,720.41 ",Sulalat Coffee Trading,Tatek Alemayehu,,Ethiopia,2021,,,"Citrus Fruit, Cocoa, Floral, Mandarin Orange, Tropical Fruit, Winey","Dark Chocolate (3), Black Currant (2), Cacao Nibs (2), Passion Fruit (2), Pineapple (2), Apple, Apricot, Brown Sugar, Candy, Choc fudge, Dried Dates, Dried Fruit, Floral, Grape, Green grape skin, Green plum, Hint of mango, Hint of melon, Jasmine, Lemon, Lemon & Lime, Liquor chocolate, Malt, Mango, Mint, Molasses, Nutmeg, Prune, Raisin, Raspberry, Red Apple, Red Grape, Strawberry, Winey","Citric Acid (3), Lemon & Lime, Malic Acid, Plum, Red wine, Tart",Natural,Heirloom typica,,,Ethiopia
